ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],1,0.777000000000001,0.777000000000001,,
ROI.02 [],2,0.2760000000000033,0.2760000000000033,0.0,0.0
ROI.03 [],1,0.777000000000001,0.777000000000001,,
ROI.05 [],2,0.7759999999999998,0.7759999999999998,0.7071067811865426,0.49999999999999645
ROI.06 [],1,0.777000000000001,0.777000000000001,,
ROI.07 [],1,0.777000000000001,0.777000000000001,,
ROI.08 [],8,12.528999999999996,1.027000000000001,18.92277259207615,6.690210409353994
ROI.09 [],2,0.7759999999999998,0.7759999999999998,0.7071067811865426,0.49999999999999645
ROI.10 [],2,0.2760000000000033,0.2760000000000033,0.0,0.0
ROI.13 [],5,7.176799999999998,1.277000000000001,11.047780329097785,4.940717563269529
