Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 []
0.258,0.19042089876829763,0.03695144767841542,0.0,0.07855530512535393,0.05044965983424896
0.784,0.40982185083943823,0.10066396468102527,0.0,0.14410259324054278,0.14760915436704353
1.277,0.4685074019495087,0.09602917000511485,0.0,0.1289366675539182,0.09136782703125558
1.787,0.5631492165455649,0.10348336949698318,0.0,0.12866266184599234,0.12915875047531356
2.278,0.5083017322343357,0.09965138305476887,0.0,0.15555792238223184,0.11506302172220913
2.777,0.5354241176222275,0.11710444070902659,0.0,0.20575603459968406,0.11047444911280027
3.285,0.4958816655308821,0.10515392654723017,0.0,0.14007689351957342,0.0910385133822162
3.777,0.4896372843003972,0.10567750606705782,0.0,0.11309773271103601,0.08951952088016803
4.278,0.44499080055512774,0.10845111864018199,0.0,0.16066619423825193,0.10649532921864642
4.796,0.39690462289216416,0.10463210905501502,0.0,0.13314175506905707,0.0832995872902945
5.283,0.4831782677417544,0.11877996141264245,0.0,0.15069052076503062,0.1415469232849273
5.784,0.49671659560703024,0.10050225077063457,0.0,0.11692553440126777,0.08940269204671443
6.277,0.4413621617347372,0.0892595496275263,0.0,0.13293514966045333,0.11069063797846908
6.777,0.4369765943110168,0.07896100714747477,0.0,0.14111343287647785,0.10113560219325463
7.278,0.4208056217161119,0.09617998274127361,0.0,0.17394514870678304,0.11333081761376115
7.778,0.3586577844171549,0.07129144695417508,0.0,0.06871308831080498,0.08701331422160542
8.288,0.42940838100482337,0.1006894380418204,0.0,0.16241689668738865,0.11703469782260707
8.778,0.46275001481574524,0.09451200512372838,0.0,0.15396956566087666,0.1465618859032918
9.277,0.41500216235254583,0.07465308904059999,0.0,0.12165766108767678,0.06920527153620329
9.788,0.3860679655839497,0.08164769839316173,0.0,0.12240291550434346,0.07327637287716568
10.28,0.3252561566864493,0.06742300482148186,0.0,0.1578041886951445,0.08781889711764994
10.779,0.33716396895848383,0.08115061874321941,0.0,0.1830452168488903,0.09599268014540238
11.288,0.3002373705505103,0.054584783408967566,0.0,0.15204360888073565,0.09553638841858139
11.777,0.4206437837881748,0.08468431586713829,0.0,0.1487796635494308,0.10603497926985016
12.277,0.33579453725253916,0.08738246540945217,0.0,0.11415707387833086,0.1146445858282257
12.777,0.3576697357543545,0.09285260953040764,0.0,0.18269239299598647,0.11927741888252877
13.288,0.26606341846519305,0.10650927077300913,0.0,0.1700503758744489,0.11997339289103574
13.777,0.3380555084897565,0.09652120338388284,0.0,0.14681670888388046,0.12034015655077211
14.285,0.32894537330014484,0.06612876858602999,0.0,0.1305577079994471,0.11067084123356245
14.776,0.2828120355510611,0.08110625074505509,0.0,0.17171681665577376,0.09019421873737987
15.287,0.266900487743189,0.046491256008059215,0.0,0.11928591140895835,0.14292968496312236
15.779,0.22643390048659062,0.058411496929172,0.0,0.12292291875289035,0.09607445331908276
16.277,0.23015870836654723,0.06230587522910176,0.0,0.11770247870410695,0.07799704061315148
16.784,0.23558623708882015,0.07089957862304817,0.0,0.07084102011682761,0.10123082652838938
17.278,0.20224356680903557,0.016961974863794072,0.0,0.06322220004324085,0.05679961516832932
17.778,0.23976139007573188,0.07548002169705495,0.0,0.1007926041506716,0.051195992688864364
18.296,0.156466071709126,0.03272710377783478,0.0,0.07547676708553616,0.08649108007626757
18.783,0.16712085435803503,0.04694814680893962,0.0,0.06160292140181503,0.0578692001638795
19.287,0.20393896235411943,0.04953395942249675,0.0,0.10236596295013478,0.11147291930151551
19.778,0.2000918423933023,0.06456630132007629,0.0,0.12784225970921284,0.10436953291368493
20.296,0.12791317171531272,0.024921874779993206,0.0,0.05054394170838007,0.07075391488409019
20.779,0.16053687765940447,0.056282108654413396,0.0,0.08870178324460558,0.07989434795054445
21.277,0.202341126162218,0.04645734173135656,0.0,0.06298529386337794,0.10278230694225163
21.786,0.1334127819100067,0.04560490500665558,0.0,0.10579530328558388,0.09883592214256175
22.278,0.09144152313699722,0.02631849504780478,0.0,0.08201752117674062,0.10715219303478744
22.777,0.07510822751154618,0.04792377191944117,0.0,0.08426740144681517,0.0997850111479011
23.277,-0.02293498541472957,0.006364031745059153,0.0,0.04311278764946792,0.03493002641020898
23.776,0.03621700170039073,0.054484113149391764,0.0,0.08942966808016356,0.07416304273837593
24.287,-0.018795203647676624,0.01824349671838815,0.0,0.057687899116209834,0.07791278823476762
24.779,0.02354383654606102,0.060502458382263945,0.0,0.04979371810072728,0.08493947053705185
25.278,0.04174401018138902,0.04043254718543571,0.0,0.08506623277714255,0.1103925505031577
25.787,-0.01902177024553819,0.015877755487880257,0.0,0.08903984634169583,0.07292244795618806
26.278,0.04996913846932814,0.030870709125568076,0.0,0.14063718109582074,0.08401847918544883
26.777,-0.0033058412498493494,0.011904089607005626,0.0,0.10713413885810309,0.08636251191336743
27.277,0.09292831337719461,0.044071080557534004,0.0,0.08370818676399472,0.10303631843702506
27.787,0.1025466833994751,0.04346580657125977,0.0,0.08902981761078992,0.0980521983061488
28.279,0.06313000036888027,0.03369694709864266,0.0,0.09416139948998274,0.05630077113903785
28.777,0.10137814161904243,0.05684763758845025,0.0,0.11618170298029006,0.12480008721135662
29.278,0.12066056631128735,0.04560180647038457,0.0,0.09622019177982133,0.08662270297364413
29.777,0.1401610420531904,0.04281442376221517,0.0,0.06461252321043363,0.06725134093383081
30.278,0.07540376867591786,0.01771471080954921,0.0,0.06859986981186035,0.08273967808749597
30.776,0.0413393797287175,0.014696707218456053,0.0,0.06356912862871307,0.03917224452737271
31.294,6957.36108369291,28.8593576218538,0.0,52.17269943943786,4.899065857174165
31.782,7506.6525764959,33.259800832801474,0.0,61.89560667881091,5.844931202665423
32.285,7439.783068148878,32.611305256314324,0.0,60.3082393799418,5.718025099366099
32.78,7746.302291680987,35.992098263685776,0.0,66.23805163358435,6.286474623806747
33.279,7721.904273250602,35.98212308395553,0.0,66.0341977565019,6.317739099841138
33.779,7792.482976616659,36.83550082199189,0.0,66.52356352578363,6.4030917729365715
34.277,7814.341294901069,36.851161489728185,0.0,67.31531798281716,6.47505590673709
34.777,7823.556238499931,36.62047050883578,0.0,67.09069880530662,6.424564024865787
35.288,7370.549929395724,31.835520594649957,0.0,58.22396392690945,5.458986153677496
35.777,7840.098365160181,37.628709258022354,0.0,67.48065475714935,6.469118941900961
36.277,7792.519554906508,37.79185487054103,0.0,67.47631373967367,6.5478746873380596
36.787,7399.310676033944,33.732165230379174,0.0,59.25420808681417,5.701997653242146
37.279,7803.899337635684,37.86424556882263,0.0,65.71171088221055,6.395397457772565
37.779,7790.172490385112,38.110956826057105,0.0,66.22110599214929,6.429824011861899
38.278,7756.376858337109,37.39315504692387,0.0,66.67762417807039,6.485248732694962
38.779,7758.476899344156,36.609658686288746,0.0,67.24615928998534,6.49327437955115
39.278,7777.766228130808,36.13138883826036,0.0,67.16651127873746,6.478357347825477
39.777,7874.961651746421,35.87627038860622,0.0,67.16092485777324,6.478900179292153
40.279,7768.578553210723,35.40755090060063,0.0,66.36335799452237,6.31640750496416
40.777,7785.702216628834,35.987390295152416,0.0,67.40747204734525,6.46049799076743
41.278,7834.916881799626,35.92054677449347,0.0,67.52880260375709,6.446215133707587
41.777,7857.796593352497,36.23225694796496,0.0,67.39592531897023,6.393082415506824
42.277,7771.98406334305,36.85189512047064,0.0,67.01743009461785,6.559300692599597
42.778,7804.884742216309,37.16764631460284,0.0,66.87427686169974,6.459908508193898
43.287,7414.061556910607,33.48446221999918,0.0,59.407295568222516,5.71442902398046
43.777,7847.738464391568,36.96630521779222,0.0,67.94569074625959,6.557087924907468
44.279,7705.488773664809,35.34492188500257,0.0,65.89274804130594,6.338063944833756
44.783,7575.517501117109,33.8709140802066,0.0,63.53837845810095,5.990506097540575
45.285,7554.075481989568,33.3111506213773,0.0,61.42965187499523,5.815191444915381
45.778,7827.48832088734,37.26026971202415,0.0,66.747331853569,6.447499985245491
46.294,7039.101364882427,30.14196406576494,0.0,53.37382679265122,5.051070019798681
46.778,7804.77286905893,37.88809942306442,0.0,66.42827526827696,6.434031451016281
47.288,7380.3738275964715,33.878202834822886,0.0,59.06641358466255,5.635841089713151
47.777,7873.5536786361745,38.813456318489465,0.0,67.53859385248329,6.601048338241616
48.286,7444.8482853780815,34.605384617360436,0.0,60.18411522341804,5.854453086466099
48.776,7799.771970411724,38.28629437682283,0.0,67.85199841219683,6.559798249065727
49.278,7748.78295962766,37.652817812239604,0.0,66.77113038205036,6.460491486544277
49.777,7797.7065142622805,38.09446261330886,0.0,67.28941342085113,6.525798782261706
50.276,7843.848575247315,38.527471517371964,0.0,68.16374716971522,6.59555354989812
50.788,7329.340082813936,33.596731630136205,0.0,59.05181197837314,5.585244380277915
51.278,0.9756625826471895,0.03895541761552505,0.0,0.04309783490205819,0.1097024498487098
51.789,0.9004794199605012,0.04198730101149654,0.0,0.1011085995222164,0.05291450952115407
52.277,0.864432183512041,0.040311458609864834,0.0,0.08422890151030882,0.07636048510847666
52.776,0.777474102868818,0.0421823845053584,0.0,0.03979966991453928,0.07635887288757125
53.287,0.7213220117919708,0.03349938945494221,0.0,0.04098748725582699,0.11469008587562939
53.778,0.7130733235284653,0.03994291849888262,0.0,0.0672908719724504,0.10626809092122086
54.278,0.614732130172635,0.01763739655316992,0.0,0.061897447609548066,0.0725669772215635
54.778,0.6337540636028808,0.04802218956223415,0.0,0.08678400304247502,0.09910218946796195
55.277,0.5669631082388117,0.03970483495442447,0.0,0.09592004135120161,0.11889660270679292
55.787,0.5171761013832216,0.05432828996740679,0.0,0.13554231476179004,0.07077257532676778
56.278,0.4376780511994934,0.04052619931152252,0.0,0.07847886993328602,0.0944284052641478
56.779,0.5376202089076163,0.05668935414824947,0.0,0.11645775283255294,0.09795746833630221
57.283,0.5617091961823262,0.0208769776587777,0.0,0.06654234240704035,0.07706966678506838
57.784,0.5385592497205264,0.04896032516200018,0.0,0.14416930462933,0.10990570774318319
58.279,0.4540020073524347,0.026482805938060686,0.0,0.08980213153106151,0.09589231293620647
58.797,0.48245508751573246,0.05082132375076776,0.0,0.1301176409639375,0.06466124344765559
59.278,0.44297227551940765,0.05137290049800041,0.0,0.08530697878623,0.09859717694121256
59.777,0.33732406776906654,0.004135731582491294,0.0,0.06547711726585717,0.06501143111492241
60.288,0.33395867579298233,0.04203762188419801,0.0,0.0701853466610532,0.09745016844807584
60.777,0.3198845697784199,0.025390190245219074,0.0,0.07224666872062427,0.07018108946731963
61.278,0.25604293227134595,0.017381066153953784,0.0,0.05343288252520207,0.04386895030690711
61.777,0.21342816134692727,-0.0031648900329145305,0.0,0.08254998128343569,0.028840509318944246
62.279,0.23990669201159182,0.052047000301264884,0.0,0.0913598712598168,0.10104982244763111
62.788,0.17060136939660892,-0.015259336981184134,0.0,0.036914512459079604,0.05416219881329286
63.277,0.14548573155684655,0.011076857917683548,0.0,0.06073949058861077,0.057553474179995325
63.787,0.16969122718648919,0.020190357224559558,0.0,0.0764956545207756,0.06809946137522759
64.278,0.1925795058874711,0.034985430789498104,0.0,0.07978582362803661,0.05037947841836244
64.776,0.14883948857595947,0.005890979277308796,0.0,0.029142336375670166,0.06403358038343444
65.289,0.06993515627740245,-0.00451979046176326,0.0,0.014776032572393683,0.0653122043952849
65.777,0.16620912181213104,0.06954991455963451,0.0,0.11031962744023531,0.11835999507698955
66.284,0.10931542536800036,0.02664784503555797,0.0,0.07116042616039048,0.09527862491307242
66.776,0.09383491734007385,0.0011379883829399178,0.0,0.021847315562294394,0.023840403482597722
67.277,0.12213901979113588,0.03345352263680184,0.0,0.07359107204600898,0.06957395362820164
67.778,0.08721669340889676,0.010500458516983042,0.0,0.08313617641445302,0.056625417832788856
68.277,0.14319377627640964,0.00914264964611817,0.0,0.0942840029837807,0.10104719198190118
68.786,0.14987388702715312,0.006060531650894057,0.0,0.07326376047113516,0.09267338288004678
69.283,0.1647790197935691,0.01608813498868244,0.0,0.04653825427491244,0.09700571935108408
69.778,0.1528388181813315,0.023972677157040143,0.0,0.07621988700875108,0.11116540199391631
70.28,0.15324851470365672,0.011282879873370484,0.0,0.02747146849692157,0.053772107755485375
70.783,0.19433276490242957,0.044345839132140186,0.0,0.07553753803226373,0.057999103850690584
71.285,0.22886834835980624,0.05788905431929475,0.0,0.10086814714706517,0.08531250230514406
71.79,0.10989813592877942,0.021032824968174036,0.0,0.07415777439600033,0.06621631723276274
72.277,0.1490417237854411,0.02166563630013381,0.0,0.06593300665721408,0.09505239379263633
72.777,0.100654096210148,-0.0030980507008917875,0.0,0.018322702283188354,0.1066474608943099
73.286,0.0998295233213929,-0.005333510105465213,0.0,0.05025037545787259,0.05254835459482135
73.778,0.14908871996040204,0.02224449888366053,0.0,0.0952223330571714,0.06892020726442173
74.277,0.1162312634012652,0.03385967143300554,0.0,0.056590035425163075,0.10030567734370577
74.785,0.10898840130484583,0.01484931780757247,0.0,0.04637678944894846,0.0802657564297852
75.278,0.15679428602373374,0.046504225553831526,0.0,0.07141074915594503,0.0843922414334221
75.777,0.11375305128573703,0.042485366958213956,0.0,0.08453207862790006,0.10430077187548611
76.278,0.042172336888316966,0.0037801990362215944,0.0,0.0675255646034535,0.07755939826126654
76.788,0.12707388947012682,0.05867868024779734,0.0,0.10880074904364162,0.09315991942878742
77.277,0.17938012085234015,0.0021275971190318965,0.0,0.01502450341488941,0.07005675661259941
77.778,0.17458511196014992,-0.0380108441668924,0.0,-0.021483770002039874,0.0535960879093093
78.276,0.13262034580811413,-0.01314145160202924,0.0,0.02481559403042001,0.06670779374439494
78.787,0.16227099013095495,0.00127297284818718,0.0,-0.007160901445466991,0.06802605920671118
79.278,0.08457046331016305,0.0001990675476777669,0.0,0.09633054170030586,0.07587806212124576
79.778,0.09782475244025284,-0.016363060758549073,0.0,0.054982807071761126,0.0774329366844665
80.278,0.11111858742182054,0.006804382152693345,0.0,0.07466236185867851,0.10558202635296425
80.778,-0.01323846388796306,-0.03013819897408892,0.0,-0.0027738398980958587,0.06599093096022679
81.278,7759.431738258479,36.764319301541995,0.0,66.86978077158476,6.498507257624008
81.779,7752.353669200413,36.31909569544526,0.0,67.07265645212966,6.453835755248956
82.277,7789.684851554746,36.91575152273623,0.0,68.24491029858541,6.596996292097724
82.787,7420.480603790658,32.73928147810472,0.0,59.790676309151735,5.7094102650798835
83.277,7784.796824459508,36.45073717201039,0.0,68.06473058468653,6.55311177489392
83.781,7646.270910878839,34.90709970384684,0.0,65.03224449959384,6.180636809638223
84.284,7456.653496390819,34.01252841588993,0.0,62.43831330255605,5.923210461187328
84.779,7784.918693035295,36.58770342323616,0.0,68.17018290447258,6.523745620752361
85.278,7768.235478256604,36.82065749080791,0.0,67.70374936428068,6.474082885289866
85.787,7822.323901366675,37.53789450942645,0.0,68.52861697405174,6.555563195555166
86.277,7831.560157644007,37.80558189224614,0.0,68.63557085912129,6.633790995821843
86.777,7837.146212908543,38.16543469668667,0.0,67.97435846074916,6.619406779133044
87.288,7286.297035153162,33.196184268065345,0.0,59.24373073963105,5.651994163633751
87.777,7861.121403790859,38.68637391255539,0.0,68.25980740233376,6.674505982599379
88.277,7802.0930481350515,38.46395494148073,0.0,68.52215274550171,6.703836096040178
88.778,7826.685547782302,38.29177374124607,0.0,67.49609962385394,6.599151905266678
89.278,7800.123818958722,37.95681621508945,0.0,67.52180690893836,6.583988354999856
89.787,7413.469134402574,33.98231983001565,0.0,59.64657167944665,5.769511267767973
90.278,7766.684870940144,36.990167578020554,0.0,66.76619433783621,6.44477033657192
90.778,7770.478397380121,37.11931533824989,0.0,68.4438176283908,6.606141764738076
91.287,7479.643566830022,32.90639688369942,0.0,59.69895756834071,5.67917830033822
91.778,7789.704544619924,35.84826458712822,0.0,67.30884925940799,6.3830654396878
92.277,7814.420378347438,36.698934496169095,0.0,68.5800762895265,6.58321031267417
92.777,7813.501183195621,36.91603326727462,0.0,68.52836535229055,6.501388292736226
93.288,7417.9400706100005,31.902688008860512,0.0,58.79676799173723,5.539481312101001
93.776,7879.300501917774,36.73145825747204,0.0,68.376556195261,6.53694569252723
94.279,7751.974342764201,36.14346672068808,0.0,66.96074055882302,6.351333899191724
94.778,7764.27987478811,36.92827830835071,0.0,67.69668358128195,6.546869569043822
95.284,7543.291769007402,34.1021096224201,0.0,62.49801774815904,5.8797206134535624
95.778,7858.991773011101,37.7259544995833,0.0,67.90177520478125,6.503379761892244
96.288,7822.848574444432,37.541518004881134,0.0,67.70910225585628,6.4777593872573345
96.782,7627.364948637868,35.78374496210608,0.0,64.24219219375496,6.159320452463143
97.285,7564.399274702658,34.949280771466995,0.0,62.026915156125455,6.017914878969659
97.784,7615.261440782543,35.62674044379623,0.0,62.03208060755858,5.973839237955218
98.276,7837.8305057946145,38.48150775767342,0.0,68.10549251946067,6.6672343349480485
98.778,7800.333656256068,37.73434991200842,0.0,67.38819394672099,6.513653767047614
99.278,7828.231128527214,37.57595116642484,0.0,67.88615404473317,6.509130590841608
99.776,7829.4924950735885,37.2117859825115,0.0,68.23009517519458,6.604553800908198
100.288,7407.254983350039,32.89292586119085,0.0,58.64420180104954,5.560516770215837
100.777,7827.76000120137,36.71829616736635,0.0,68.65192541528945,6.559126469438984
101.277,0.8816452674371568,0.024227213359041818,0.0,0.04555010806184092,0.0864488967031143
101.777,0.8399793056386758,0.05705592459029777,0.0,0.05570401738040566,0.04194288493264288
102.278,0.7100949270304218,0.04963670024710815,0.0,0.08557058307389244,0.0927486702770864
102.776,0.674268597234932,0.03017430029976564,0.0,0.07272385787158811,0.0648535921034585
103.287,0.5300288907218704,0.01832302045483612,0.0,0.05167072834962504,0.06389164591295893
103.778,0.5338324602353395,0.03607468766315716,0.0,0.08707042043422572,0.04540686150222884
104.277,0.6740403552831845,0.0519174847013124,0.0,0.08312750291751704,0.06579615106048105
104.777,0.6022720012587404,0.013215083381783687,0.0,0.06635668665608611,0.03124717148073089
105.287,0.5360717493934014,0.028856328603614072,0.0,0.007234754465223022,0.057938669546283496
105.777,0.4559248309273204,0.03791278281928419,0.0,0.0614057574560902,0.07708886586451447
106.287,0.429400430575675,0.00904976886399569,0.0,-0.028837382094681643,0.08340665056576498
106.776,0.4293347342015482,0.017611785008568425,0.0,0.03748367681740235,0.05103646398118244
107.288,0.4009077282950701,0.012788065892518316,0.0,0.02140680807587162,0.04078037034210066
107.778,0.43710330857157303,0.009608648155037298,0.0,0.03732381568487547,0.0790970290703135
108.277,0.3437527691756352,0.0022558873421016355,0.0,0.03117843979115628,0.06948661331170485
108.785,0.3345358189280296,0.027579195732930255,0.0,0.03285697603513301,0.07694773934913035
109.277,0.3099434040861894,-0.0021565365413960826,0.0,0.04205069083990104,0.04976018635950683
109.787,0.30902597908813617,0.029617879073559093,0.0,0.08537741706837604,0.10739272016457513
110.28,0.26389975902899565,-0.023625748334953827,0.0,0.009654242258341848,0.06984841118338314
110.785,0.24475627367874095,0.008708706145836801,0.0,0.015499343493559808,0.04224830303250392
111.284,0.19436640950797168,-0.005550537055987569,0.0,0.03047939885054742,0.08769902461776528
111.776,0.13393272171453444,-0.012907585225393552,0.0,-0.0139190576419695,0.044211368323759534
112.277,0.17249146480957572,-0.010641843075580502,0.0,0.02973560131018636,0.024848602336168937
112.777,0.2226363072352946,0.007736128392375664,0.0,0.047270362922745925,0.04181997614489066
113.277,0.2076679036069666,0.03287649226941511,0.0,0.05404244414756345,0.05000966740290595
113.788,0.07490140008223252,-0.013360620768579887,0.0,-0.025344582931479485,0.046766026463915956
114.278,0.18146954086012715,0.024175463123673885,0.0,0.023887631496353746,0.04922476299268726
114.789,0.08592057718637572,0.009157640040052055,0.0,0.015973833470272796,0.07974464382954354
115.277,0.0822032321322861,0.014070558689996201,0.0,0.023806023828169147,0.06775940081639673
115.777,0.07592808565457118,0.015351780049363651,0.0,0.035756442501795264,0.06473093049825103
116.278,0.03236481566974834,0.02244210843751301,0.0,0.03409704893688269,0.04111936838453029
116.778,0.04344942909316578,0.0008618296910609946,0.0,0.022416875197043593,0.07444531790493691
117.278,0.05445948177019043,0.02638113622141646,0.0,0.004749300662177722,0.04006957275532324
117.781,0.0322631967091752,0.011369163653876465,0.0,-0.010756156291699523,0.050304829268980465
118.278,0.03673168539480378,0.00899536900737206,0.0,-0.0007309264321169318,0.04117204410636385
118.777,0.048282842345959705,-0.0016484979577521019,0.0,0.012173746313396391,0.08263711943853418
119.287,0.027787552762540742,0.005894205761606391,0.0,0.03352472236616362,0.0419715470478965
119.784,0.039473215619632684,0.04186683170457241,0.0,0.06734957618775435,0.083677983290127
120.278,0.043094085299230304,-0.012088669428369085,0.0,0.022477262161038146,0.06095800517554605
120.777,0.04333574008351726,-0.007249588503486422,0.0,0.017274056170093158,0.08632016252196138
121.276,0.030685080932162333,-0.03596065939281095,0.0,0.020322609659979264,0.0693906548074058
121.777,0.055559113998142604,-0.0031843454483103345,0.0,0.024792080722412513,0.07712220231382151
122.284,0.05168887790549119,0.005008549335482652,0.0,0.07753666614957724,0.06878776903338445
122.778,0.03505181562860193,-0.012175524222693208,0.0,0.02360387939807386,0.02410004852744311
123.287,0.017896736453400317,-0.0025734534459137893,0.0,0.0020114684253751958,0.054960344095028354
123.779,-0.03063007176493242,-0.011729644265772174,0.0,0.03473221318622544,0.03572434220620306
124.288,0.04410054409991121,-0.006396926590197842,0.0,0.03975275623425314,0.05412374162570572
124.784,0.019807323694073925,-0.010646498191309032,0.0,0.008051192542737517,0.05596791576889379
125.277,0.06287202963891837,0.0038669660948430326,0.0,0.03909301707686918,0.07259582749086556
125.795,0.09460211686241671,0.005227870577362637,0.0,0.04380090766349655,0.06230735292932306
126.277,0.06443502722323076,0.013843447239427362,0.0,0.05163179925574883,0.05051811835048251
126.777,0.00804860540874471,0.00812651691293498,0.0,0.02391908421659796,0.04318447213459097
127.288,0.014822233409166444,-0.006240968879938358,0.0,-0.011449042211566018,0.028384025749004848
127.776,0.07380524483889642,0.001739395413483535,0.0,0.04689562945496701,0.03880047818664684
128.289,0.04916552375657099,-0.006317297570781013,0.0,0.021835683137788,-0.009411723290036608
128.776,0.014397920049727305,-0.012884816320924777,0.0,0.050922627941730574,0.04057777652025279
129.276,-0.009238589167612745,0.023430600735537037,0.0,0.07862828447092146,0.07819800376757854
129.785,-0.06991643977467023,-0.01893185554975987,0.0,0.01750733709940983,0.07262874705008893
130.278,0.03982422224758217,0.007329108818254109,0.0,0.08369674633109328,0.09996854977266943
130.777,-0.04806236948491711,-0.0033374093391066993,0.0,0.02133982564022153,0.06711374138232505
131.289,7429.36759780593,34.083820933835085,0.0,58.431351542512246,5.662571594670999
131.777,7872.396821850866,38.71233949092924,0.0,66.97667493601347,6.523503204704665
132.276,7824.0917149642155,38.46940473747425,0.0,67.55763395144687,6.581861621614461
132.777,7912.1238324448495,38.98952180155689,0.0,67.01503513655861,6.57200006832017
133.288,7459.953287514183,34.323160029676195,0.0,59.267865049899065,5.736941114137995
133.778,7818.870690423086,38.296594241920225,0.0,66.50933455234919,6.505287635364055
134.277,7863.730033182544,38.75347551686743,0.0,67.43474948384195,6.609334755376935
134.777,7841.130364070915,38.66131610807369,0.0,68.08214425614979,6.575598294563381
135.278,7835.425906703932,38.150711589149445,0.0,67.60691543992066,6.593565205573016
135.786,7528.676505792655,34.93816929165412,0.0,61.00728166453894,5.858269073213587
136.276,7856.95929886951,37.82269539989386,0.0,68.67007630011494,6.670911342348651
136.786,7458.560733423978,33.85508932749977,0.0,60.57977916070566,5.788432244638649
