Parameter,Replicate,ROI,spike_time_s
20,2,19,32.777
20,2,19,84.778
20,3,19,31.776
5hz,1,2,195.278
5hz,1,19,32.278
5hz,2,19,45.276
5hz,2,19,87.778
5hz,2,19,134.285
5hz,3,19,32.277
Ctrl,2,7,68.277
blue,1,1,49.276
blue,1,1,92.276
blue,1,1,146.777
blue,1,4,46.275
blue,1,4,98.777
blue,1,4,136.276
blue,1,6,44.276
blue,1,6,101.277
blue,1,6,136.777
blue,1,7,47.278
blue,1,7,94.777
blue,1,7,136.276
blue,1,8,75.777
blue,1,8,118.277
blue,1,8,159.291
blue,1,9,121.777
blue,1,9,158.777
blue,1,10,73.277
blue,1,10,119.276
blue,1,10,156.277
blue,1,11,123.777
blue,1,11,158.277
blue,1,12,72.776
blue,1,12,125.777
blue,1,12,154.277
blue,1,13,122.776
blue,1,13,156.277
blue,1,14,50.775
blue,1,14,98.777
blue,1,14,135.777
blue,1,14,177.276
blue,1,15,73.777
blue,1,15,124.778
blue,1,15,158.777
blue,1,16,23.777
blue,1,16,72.776
blue,1,16,110.79
blue,1,17,118.277
blue,1,17,160.277
blue,1,18,119.787
blue,1,18,159.291
blue,1,19,44.276
blue,1,19,101.277
blue,1,19,136.777
blue,2,1,38.777
blue,2,1,97.777
blue,2,1,149.777
blue,2,4,49.276
blue,2,4,84.777
blue,2,4,141.776
blue,2,5,120.777
blue,2,5,152.278
blue,2,6,49.276
blue,2,6,98.276
blue,2,6,141.776
blue,2,7,35.276
blue,2,7,97.777
blue,2,7,134.78
blue,2,8,110.28
blue,2,8,155.279
blue,2,9,119.287
blue,2,9,153.277
blue,2,11,68.278
blue,2,11,120.777
blue,2,11,165.295
blue,2,12,115.277
blue,2,12,153.777
blue,2,13,117.778
blue,2,13,161.286
blue,2,14,69.277
blue,2,14,123.777
blue,2,14,160.779
blue,2,15,115.777
blue,2,15,158.278
blue,2,16,127.78
blue,2,16,161.286
blue,2,17,118.776
blue,2,17,160.779
blue,2,18,69.277
blue,2,18,115.277
blue,2,18,161.286
blue,2,19,49.276
blue,2,19,98.276
blue,2,19,141.776
