ROI,n_spikes,Mean_Amplitude,SEM
ROI.01 [],3,0.48861951483536786,0.28400564506228254
ROI.02 [],3,0.047288219081570014,0.004002259144863029
ROI.03 [],3,0.15470841161719684,0.06615391893328826
ROI.04 [],4,0.07300422741975662,0.004932243512613339
ROI.05 [],1,0.02667630117678215,0.0
ROI.06 [],2,0.8024386406366683,0.4577041426132001
ROI.07 [],3,0.11791162873034604,0.05622692081954714
ROI.08 [],4,0.06098636130073353,0.016360182625577268
ROI.09 [],5,0.06399366056370448,0.015466261677612994
ROI.10 [],3,0.056133837146740174,0.010503687029303233
ROI.11 [],3,0.6922215778549669,0.3341779877789058
ROI.12 [],3,0.07103474881929384,0.001522329442346805
ROI.13 [],3,0.15470841161719684,0.06615391893328826
ROI.14 [],1,0.02702053995145342,0.0
