ROI,Spike_Count,Mean_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],5,35.5806,31.788,12.532042183937932,5.604499644036028
ROI.02 [],5,30.680200000000003,26.78700000000001,8.459643562231207,3.78326761411349
ROI.03 [],7,30.84971428571428,28.777,8.638866316716284,3.2651845547948337
ROI.04 [],13,35.12569230769231,38.779,11.109634020259291,3.081258085514155
ROI.05 [],4,36.405,37.282,14.410939687149705,7.2054698435748525
ROI.06 [],5,32.0806,30.785,13.311642697278192,5.953147592660538
ROI.07 [],6,38.44483333333334,37.0305,12.180460113093705,4.972652018233777
ROI.08 [],9,34.391444444444446,28.294,10.00680103868253,3.33560034622751
ROI.09 [],11,34.601090909090914,30.788,11.157115321215835,3.3639968421089534
ROI.10 [],11,33.82818181818182,31.787,9.060484444202551,2.7318388472974227
ROI.11 [],4,36.90175000000001,36.776,14.395853022658986,7.197926511329493
ROI.12 [],5,39.28119999999999,46.786,11.622328884522245,5.197663488530209
ROI.13 [],7,30.84971428571428,28.777,8.638866316716284,3.2651845547948337
ROI.14 [],5,34.380399999999995,26.286,13.923843320003275,6.226932034316736
