ROI,Total_Spikes,Mean_per_replicate,SEM,n_replicates
ROI.01 [],5,1.6666666666666667,0.3333333333333333,3
ROI.02 [],5,1.6666666666666667,0.3333333333333333,3
ROI.03 [],7,2.3333333333333335,0.8819171036881969,3
ROI.04 [],13,3.25,0.8539125638299665,4
ROI.05 [],4,4.0,0.0,1
ROI.06 [],5,2.5,0.5,2
ROI.07 [],6,2.0,1.0,3
ROI.08 [],9,2.25,0.75,4
ROI.09 [],11,2.2,0.58309518948453,5
ROI.10 [],11,3.6666666666666665,1.2018504251546633,3
ROI.11 [],4,1.3333333333333333,0.3333333333333333,3
ROI.12 [],5,1.6666666666666667,0.6666666666666667,3
ROI.13 [],7,2.3333333333333335,0.8819171036881969,3
ROI.14 [],5,5.0,0.0,1
