ROI,n_spikes,spike_times_s
ROI.01 [],3,89.276;137.277;191.277
ROI.02 [],3,86.778;132.277;191.277
ROI.03 [],3,88.277;137.277;185.776
ROI.04 [],3,89.276;132.277;191.277
ROI.05 [],3,89.276;141.275;185.276
ROI.06 [],3,89.276;141.275;185.776
ROI.07 [],3,89.276;141.275;185.776
ROI.08 [],3,90.278;140.277;185.276
ROI.09 [],3,89.276;141.275;185.276
ROI.10 [],3,85.777;140.277;185.776
ROI.11 [],3,86.778;132.277;190.278
ROI.12 [],3,89.276;141.275;185.276
ROI.13 [],3,88.778;141.275;185.276
