Parameter,Replicate,ROI,spike_time_s
20,1,7,145.777
20,1,10,127.788
20,2,4,30.278
20,2,4,80.287
20,2,4,130.287
20,2,5,42.278
20,2,7,29.778
20,3,4,31.779
20,3,4,81.779
20,3,4,131.789
20,3,5,176.777
20,3,8,31.287
20,3,9,36.277
20,3,9,112.787
2hz,1,4,32.278
2hz,1,4,81.777
2hz,1,4,131.777
2hz,1,7,25.788
2hz,1,8,46.278
2hz,1,9,107.777
2hz,1,12,66.777
2hz,1,13,175.288
2hz,2,4,51.779
2hz,2,4,83.278
2hz,2,4,132.278
2hz,2,12,107.777
2hz,3,4,45.277
2hz,3,4,83.777
2hz,3,4,139.777
2hz,3,8,49.777
2hz,3,9,25.787
2hz,3,9,162.776
5hz,1,4,32.276
5hz,1,4,82.787
5hz,1,4,132.277
5hz,1,6,175.777
5hz,1,10,93.777
5hz,2,4,30.277
5hz,2,4,80.279
5hz,2,4,130.289
5hz,2,4,180.279
5hz,2,6,118.778
5hz,2,10,88.287
5hz,3,4,32.288
5hz,3,4,83.777
5hz,3,4,131.778
5hz,3,10,36.784
Ctrl,2,4,36.287
Ctrl,2,4,96.777
Ctrl,2,4,139.277
Ctrl,2,11,177.288
blue,1,2,43.776
blue,1,2,95.276
blue,1,2,148.276
blue,1,3,46.276
blue,1,3,89.776
blue,1,3,141.777
blue,1,4,40.282
blue,1,4,86.276
blue,1,4,135.277
blue,1,5,44.777
blue,1,5,84.278
blue,1,5,135.277
blue,1,7,51.776
blue,1,7,91.276
blue,1,7,149.276
blue,1,8,46.276
blue,1,8,89.776
blue,1,8,143.776
blue,1,9,46.276
blue,1,9,101.777
blue,1,9,141.777
blue,1,9,191.286
blue,1,10,43.776
blue,1,10,91.276
blue,1,10,149.276
blue,1,11,51.776
blue,1,11,91.276
blue,1,11,151.776
blue,1,13,51.278
blue,1,13,93.777
blue,1,13,143.776
