ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],blue,red,3,13,51.61266666666666,15.278769230769235,0.025,*
ROI.02 [],blue,red,3,4,36.11,26.904750000000007,0.5925602769166511,ns
ROI.03 [],Ctrl,blue,1,3,10.777999999999992,36.946333333333335,1.0,ns
ROI.03 [],Ctrl,red,1,6,10.777999999999992,24.44666666666667,1.0,ns
ROI.03 [],blue,red,3,6,36.946333333333335,24.44666666666667,0.8968506656319674,ns
ROI.04 [],blue,red,2,8,20.526500000000002,31.904625000000003,0.044444444444444446,*
ROI.05 [],blue,red,2,4,20.276000000000003,16.402,0.48112000112723874,ns
ROI.06 [],blue,red,2,5,38.52749999999999,14.679000000000002,0.19047619047619047,ns
ROI.07 [],blue,red,2,4,39.02600000000001,32.77725,1.0,ns
ROI.08 [],blue,red,2,8,20.776000000000003,29.904125,0.17777777777777778,ns
ROI.09 [],blue,red,1,10,20.276000000000003,30.033000000000005,1.0,ns
ROI.10 [],Ctrl,blue,1,2,5.295999999999999,20.276499999999995,1.0,ns
ROI.10 [],Ctrl,red,1,9,5.295999999999999,29.727,1.0,ns
ROI.10 [],blue,red,2,9,20.276499999999995,29.727,0.14545454545454545,ns
ROI.11 [],blue,red,1,5,53.77799999999999,22.5778,1.0,ns
ROI.12 [],blue,red,2,4,20.526500000000002,37.405,0.13333333333333333,ns
ROI.13 [],Ctrl,blue,1,2,10.777999999999992,20.276000000000003,1.0,ns
ROI.13 [],Ctrl,red,1,6,10.777999999999992,24.44666666666667,1.0,ns
ROI.13 [],blue,red,2,6,20.276000000000003,24.44666666666667,0.6149621418492248,ns
ROI.14 [],blue,red,2,6,20.276000000000003,17.11183333333333,0.6149621418492248,ns
