ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],16,22.091375,16.026000000000007,22.29545698978456,5.57386424744614
ROI.02 [],7,30.849857142857154,26.77800000000001,16.586831869775203,6.269233166552239
ROI.03 [],10,26.829700000000003,20.525500000000008,19.803407518516718,6.2623873191015935
ROI.04 [],10,29.629,23.7855,10.707433087969001,3.3859876451832096
ROI.05 [],6,17.693333333333335,13.526,17.121839885557467,6.989961862874821
ROI.06 [],18,19.99966666666667,15.026,21.54660978928622,5.078584631194912
ROI.07 [],7,40.20557142857143,32.277,19.077719507819783,7.210700199990957
ROI.08 [],11,31.732818181818185,28.276999999999987,17.762913115917566,5.355719817198298
ROI.09 [],12,32.40683333333334,28.0325,17.924785723752024,5.174439931387296
ROI.10 [],13,29.359076923076923,26.27800000000001,17.819912179270784,4.942354391278927
ROI.11 [],10,31.9274,25.776500000000002,24.053742675748218,7.606461310695736
ROI.12 [],6,31.778833333333324,26.777499999999993,13.037500549057196,5.322537311074276
ROI.13 [],10,26.829700000000003,20.525500000000008,19.803407518516718,6.2623873191015935
ROI.14 [],8,17.902875,15.526499999999995,15.057534093673599,5.3236422327921185
