condition,spike_count,condition_group
Ctrl1,3,Ctrl
blue1,6,blue
blue2,13,blue
blue3,1,blue
blue4,9,blue
red1,7,red
red2,10,red
red3,3,red
red4,33,red
red5,6,red
red6,14,red
red7,14,red
red8,5,red
