Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,8.950422945956818,9.208427736327577,0.9719816674726218,0.3310596688571459,ns
C(condition_group)[T.blue],21.70608871609779,9.679691537910553,2.242435994069212,0.024933207686675837,*
C(condition_group)[T.red],16.019660775199185,9.362887310401787,1.710974429586693,0.08708583328578118,ns
ROI (random effect var),0.013393127001281585,,,,
