ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],blue,red,3,13,0.4524959888560877,0.389638889038994,0.8,ns
ROI.02 [],blue,red,3,4,11.43361465509637,0.04677280888183943,0.05714285714285714,ns
ROI.03 [],Ctrl,blue,1,3,0.1397789250488478,60.84512436925201,1.0,ns
ROI.03 [],Ctrl,red,1,6,0.1397789250488478,0.11926700165042481,1.0,ns
ROI.03 [],blue,red,3,6,60.84512436925201,0.11926700165042481,0.023809523809523808,*
ROI.04 [],blue,red,2,8,37.61709076698272,0.07197014234497914,0.044444444444444446,*
ROI.05 [],blue,red,2,4,2.7197032347662455,0.18723584495065002,0.13333333333333333,ns
ROI.06 [],blue,red,2,5,0.4479514043540056,0.8506276620583598,0.38095238095238093,ns
ROI.07 [],blue,red,2,4,1.926779766074629,0.056155864678886946,0.13333333333333333,ns
ROI.08 [],blue,red,2,8,5.3211703068198215,0.04847596225817419,0.044444444444444446,*
ROI.09 [],blue,red,1,10,8.462950847537128,0.045460489328137746,1.0,ns
ROI.10 [],Ctrl,blue,1,2,0.0420970679926629,16.33640608561612,1.0,ns
ROI.10 [],Ctrl,red,1,9,0.0420970679926629,0.053763040006357204,1.0,ns
ROI.10 [],blue,red,2,9,16.33640608561612,0.053763040006357204,0.03636363636363636,*
ROI.11 [],blue,red,1,5,0.7003984893995646,0.8332616745654784,1.0,ns
ROI.12 [],blue,red,2,4,38.144962364924844,0.07301600972435063,0.13333333333333333,ns
ROI.13 [],Ctrl,blue,1,2,0.1397789250488478,91.00370783410474,1.0,ns
ROI.13 [],Ctrl,red,1,6,0.1397789250488478,0.11926700165042481,1.0,ns
ROI.13 [],blue,red,2,6,91.00370783410474,0.11926700165042481,0.07142857142857142,ns
ROI.14 [],blue,red,2,6,2.673763805977461,0.13167430584910542,0.07142857142857142,ns
