ROI,n_spikes,Mean_Amplitude,SEM
ROI.01 [],4,0.4041499834159239,0.038436978850244094
ROI.02 [],6,5.740685797403028,3.5654048037643125
ROI.03 [],8,22.90785463338166,14.864891856293625
ROI.04 [],5,7.584021280941506,7.508268480407089
ROI.05 [],6,1.0313916415558484,0.5365436358321329
ROI.06 [],4,0.7195135033603889,0.2595786132486949
ROI.07 [],4,0.9952760513026568,0.877399100917865
ROI.08 [],5,2.1654780163970506,1.2887447546771003
ROI.09 [],5,1.7346810794312564,1.6820958852583028
ROI.10 [],6,5.4809573879596245,3.434326464980494
ROI.11 [],3,0.8371563218658123,0.21955540546087582
ROI.12 [],3,12.763217767418872,12.69087232237234
ROI.13 [],7,26.104982803929534,16.76279138888245
ROI.14 [],6,1.0141463110098217,0.5274861637010596
