ROI,n_spikes,spike_times_s
ROI.04 [],16,27.277;35.297;52.784;71.778;75.278;94.277;98.777;109.777;122.789;126.778;144.788;166.777;170.288;174.277;191.288;195.777
ROI.06 [],10,26.777;53.286;81.288;82.777;109.777;116.283;144.277;186.778;193.788;197.778
ROI.000 [],5,27.277;52.784;109.280;144.788;170.288
ROI.11 [],3,52.284;126.778;144.788
ROI.02 [],2,135.278;153.278
ROI.05 [],2,141.280;155.278
ROI.07 [],2,141.777;153.278
ROI.09 [],2,137.281;153.776
ROI.08 [],2,141.777;155.777
ROI.10 [],2,135.278;153.278
ROI.12 [],2,141.777;154.279
