Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,4,1,0.13520449535245624,0.27987718882335877,1.0,ns
10s,20s,4,4,0.13520449535245624,0.23964415014000962,0.02857142857142857,*
10s,2hz,4,6,0.13520449535245624,0.2713129960511884,0.009523809523809525,**
10s,2mw,4,1,0.13520449535245624,0.07031330474076922,1.0,ns
10s,5hz,4,3,0.13520449535245624,0.27292484778683734,0.11428571428571428,ns
10s,5s,4,5,0.13520449535245624,0.22147280100744235,0.7301587301587302,ns
10s,Ctrl,4,2,0.13520449535245624,0.19147502472165975,1.0,ns
1mw,20s,1,4,0.27987718882335877,0.23964415014000962,1.0,ns
1mw,2hz,1,6,0.27987718882335877,0.2713129960511884,1.0,ns
1mw,2mw,1,1,0.27987718882335877,0.07031330474076922,1.0,ns
1mw,5hz,1,3,0.27987718882335877,0.27292484778683734,1.0,ns
1mw,5s,1,5,0.27987718882335877,0.22147280100744235,1.0,ns
1mw,Ctrl,1,2,0.27987718882335877,0.19147502472165975,1.0,ns
20s,2hz,4,6,0.23964415014000962,0.2713129960511884,0.35238095238095235,ns
20s,2mw,4,1,0.23964415014000962,0.07031330474076922,1.0,ns
20s,5hz,4,3,0.23964415014000962,0.27292484778683734,0.6285714285714286,ns
20s,5s,4,5,0.23964415014000962,0.22147280100744235,0.9047619047619049,ns
20s,Ctrl,4,2,0.23964415014000962,0.19147502472165975,1.0,ns
2hz,2mw,6,1,0.2713129960511884,0.07031330474076922,1.0,ns
2hz,5hz,6,3,0.2713129960511884,0.27292484778683734,0.7142857142857142,ns
2hz,5s,6,5,0.2713129960511884,0.22147280100744235,0.9307359307359306,ns
2hz,Ctrl,6,2,0.2713129960511884,0.19147502472165975,0.8571428571428571,ns
2mw,5hz,1,3,0.07031330474076922,0.27292484778683734,1.0,ns
2mw,5s,1,5,0.07031330474076922,0.22147280100744235,1.0,ns
2mw,Ctrl,1,2,0.07031330474076922,0.19147502472165975,1.0,ns
5hz,5s,3,5,0.27292484778683734,0.22147280100744235,0.7857142857142857,ns
5hz,Ctrl,3,2,0.27292484778683734,0.19147502472165975,0.8,ns
5s,Ctrl,5,2,0.22147280100744235,0.19147502472165975,0.8571428571428571,ns
