ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.18 [],10s,20s,2,3,1.0,1.6666666666666667,0.31731050786291415,ns
ROI.18 [],10s,5hz,2,2,1.0,1.5,0.6170750774519738,ns
ROI.18 [],20s,5hz,3,2,1.6666666666666667,1.5,1.0,ns
ROI.19 [],10s,20s,2,3,1.0,1.6666666666666667,0.31731050786291415,ns
ROI.19 [],10s,2hz,2,1,1.0,1.0,1.0,ns
ROI.19 [],10s,5hz,2,1,1.0,1.0,1.0,ns
ROI.19 [],20s,2hz,3,1,1.6666666666666667,1.0,1.0,ns
ROI.19 [],20s,5hz,3,1,1.6666666666666667,1.0,1.0,ns
ROI.19 [],2hz,5hz,1,1,1.0,1.0,1.0,ns
ROI.20 [],10s,20s,1,3,1.0,1.0,1.0,ns
ROI.20 [],10s,5hz,1,1,1.0,1.0,1.0,ns
ROI.20 [],20s,5hz,3,1,1.0,1.0,1.0,ns
ROI.21 [],10s,20s,1,3,1.0,1.0,1.0,ns
ROI.21 [],10s,5hz,1,2,1.0,1.0,1.0,ns
ROI.21 [],20s,5hz,3,2,1.0,1.0,1.0,ns
ROI.22 [],20s,2hz,2,3,3.5,1.3333333333333333,0.2235428745713206,ns
ROI.22 [],20s,5hz,2,1,3.5,1.0,1.0,ns
ROI.22 [],20s,5s,2,3,3.5,2.3333333333333335,0.7670968684102772,ns
ROI.22 [],20s,Ctrl,2,2,3.5,1.0,0.22067136191984682,ns
ROI.22 [],2hz,5hz,3,1,1.3333333333333333,1.0,1.0,ns
ROI.22 [],2hz,5s,3,3,1.3333333333333333,2.3333333333333335,0.3457785861511603,ns
ROI.22 [],2hz,Ctrl,3,2,1.3333333333333333,1.0,0.6830913983096087,ns
ROI.22 [],5hz,5s,1,3,1.0,2.3333333333333335,1.0,ns
ROI.22 [],5hz,Ctrl,1,2,1.0,1.0,1.0,ns
ROI.22 [],5s,Ctrl,3,2,2.3333333333333335,1.0,0.31731050786291415,ns
ROI.31 [],10s,1mw,1,1,1.0,1.0,1.0,ns
ROI.31 [],10s,2hz,1,3,1.0,2.0,1.0,ns
ROI.31 [],10s,5hz,1,1,1.0,4.0,1.0,ns
ROI.31 [],10s,5s,1,1,1.0,2.0,1.0,ns
ROI.31 [],10s,Ctrl,1,1,1.0,1.0,1.0,ns
ROI.31 [],1mw,2hz,1,3,1.0,2.0,1.0,ns
ROI.31 [],1mw,5hz,1,1,1.0,4.0,1.0,ns
ROI.31 [],1mw,5s,1,1,1.0,2.0,1.0,ns
ROI.31 [],1mw,Ctrl,1,1,1.0,1.0,1.0,ns
ROI.31 [],2hz,5hz,3,1,2.0,4.0,1.0,ns
ROI.31 [],2hz,5s,3,1,2.0,2.0,1.0,ns
ROI.31 [],2hz,Ctrl,3,1,2.0,1.0,1.0,ns
ROI.31 [],5hz,5s,1,1,4.0,2.0,1.0,ns
ROI.31 [],5hz,Ctrl,1,1,4.0,1.0,1.0,ns
ROI.31 [],5s,Ctrl,1,1,2.0,1.0,1.0,ns
ROI.A [],20s,2mw,1,1,1.0,1.0,1.0,ns
ROI.A [],20s,5s,1,1,1.0,1.0,1.0,ns
ROI.A [],2mw,5s,1,1,1.0,1.0,1.0,ns
ROI.B [],20s,2mw,1,1,1.0,1.0,1.0,ns
ROI.C [],2mw,Ctrl,1,1,1.0,1.0,1.0,ns
ROI.D [],20s,2hz,2,3,3.0,1.3333333333333333,0.2235428745713206,ns
ROI.D [],20s,2mw,2,1,3.0,1.0,1.0,ns
ROI.D [],20s,5hz,2,1,3.0,1.0,1.0,ns
ROI.D [],20s,5s,2,3,3.0,2.6666666666666665,1.0,ns
ROI.D [],20s,Ctrl,2,1,3.0,1.0,1.0,ns
ROI.D [],2hz,2mw,3,1,1.3333333333333333,1.0,1.0,ns
