Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,13,0.3626373626373627,0.22331572029248162,ns
10s,2hz,5,0.7999999999999999,0.10408803866182788,ns
10s,5hz,15,0.5071428571428571,0.05366366378080588,ns
10s,5s,3,0.5,0.6666666666666667,ns
20s,2hz,5,0.8999999999999998,0.03738607346849874,*
20s,2mw,3,1.0,0.0,***
20s,5hz,15,0.18928571428571428,0.49926303323854526,ns
20s,5s,4,0.7999999999999999,0.20000000000000007,ns
2hz,5hz,7,0.9642857142857145,0.0004541491691941689,***
2hz,5s,4,0.7999999999999999,0.20000000000000007,ns
2hz,Ctrl,3,-0.5,0.6666666666666667,ns
2mw,5s,3,1.0,0.0,***
5hz,5s,5,0.7999999999999999,0.10408803866182788,ns
5hz,Ctrl,3,-0.5,0.6666666666666667,ns
5s,Ctrl,3,-1.0,0.0,***
