Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 []
0.258,0.0,-0.035817463025899894,-0.02065873207843973,0.04228667197224253,-0.014553303858584115,0.014058024702642528,0.008046805173790495,0.008283565781636398,-0.014011179369079986,0.008291881077993552,2.3529877341915486,0.0040851130397251785,0.030510033810658744,0.009669584233706952,0.009756408943522216,0.013787292358526397
0.776,0.0,0.04692907713767745,0.13108234003081934,0.07390633672056209,0.004674156004703821,0.010480541252671897,0.017760595101306145,0.014566230672268098,-3.462489329003217e-05,0.019816133106267404,2.508133252875126,0.02264906980341178,0.030285815446102572,0.008488574427064273,0.008123609431539135,0.02757377251756292
1.277,0.0,0.05871832546272428,0.13258766809041575,0.07130594757425884,0.0011555327158008317,0.017151139653737116,0.028249946761514558,0.00715475889757873,0.0053035980845327945,0.027038698336472957,1.337568128648316,0.010698525933448338,0.016614536685241797,0.002035363638616951,0.010220932634992507,0.021849111960144555
1.795,0.0,0.09027764201420471,0.1000114389106621,0.04977119290807859,-0.0014216886324545492,0.017889749972664997,0.02488691717337025,0.01779616131036483,0.0043171624860967915,0.021060809950316953,0.16886911925650502,0.008939269544037117,0.03759913424320375,0.027079076657150983,0.006025988251526484,0.00960614305188715
2.277,0.0,0.05757312508207273,0.02371112109220146,0.038137950906444416,-0.007386086643083199,0.009640492603553551,-0.002767419250905665,0.007247008054480701,0.0006088505849151632,0.003240725649932898,0.29258286897594027,0.013611467612089437,0.022848016401871677,0.01256838057200263,-0.0030856591234851823,0.0029006861225855563
2.777,0.0,0.0856914689863466,0.13708681983932547,0.03877407417196502,0.004562999006121526,0.016130886445986366,0.02006668850435728,0.012124839223963556,0.00967600431122049,0.019119843032257083,1.5676109280157036,0.016456344424444144,0.052880230152515625,0.004669924843112932,0.009186414246702463,0.025232905741747674
3.277,0.0,0.13174877709511354,0.1488477916102649,0.05040262306669455,0.006938145907907376,0.01856893533095247,0.02836964419742132,0.013504689037107963,0.011406648102592839,0.022095699349747422,1.7005052550848319,0.011345645578687892,0.02889084702934741,0.008300185878746626,0.007758317752102941,0.032171405644064975
3.776,0.0,0.1593727852920961,0.11897205558064121,0.05163384198559997,0.013251938977388912,0.015401233202906423,0.01171696148447976,0.008008529987544347,0.011960743709052608,0.019755646508607103,0.49296855293068303,0.008441561664872236,-0.006383858589687495,-0.007248719704379228,0.014820774022500538,0.011306797162592567
4.276,0.0,0.10801986408098313,0.08018926235105035,0.009507418531009199,0.004427064217876179,0.012320454227602253,0.012869094729656581,0.01380662770301393,0.008443035348097795,0.009410222623894984,0.0016982587020167414,0.007787883120377452,0.019698653636382252,0.030125627332849198,0.004510693186254505,0.019029710188264007
4.778,0.0,0.08880190229388803,0.053969861210930614,-0.018858631803959258,0.0031637510615927663,0.013260552177970054,0.00022248652354561816,0.013587716007091521,0.00763604649386088,0.008119678471660445,1.4466774589303089,0.01051613533378225,0.03395064255078101,0.025724976528416234,0.005483111579334137,0.032314268158014005
