ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.06 [],62.284,32.284,30,40,10s1
ROI.31 [],150.287,40.287000000000006,110,120,10s1
ROI.03 [],101.786,31.786,70,80,10s2
ROI.03 [],113.778,3.778000000000006,110,120,10s2
ROI.03 [],150.777,40.77699999999999,110,120,10s2
ROI.09 [],97.777,27.777,70,80,10s2
ROI.10 [],97.777,27.777,70,80,10s2
ROI.11 [],98.284,28.28400000000001,70,80,10s2
ROI.12 [],97.777,27.777,70,80,10s2
ROI.13 [],98.284,28.28400000000001,70,80,10s2
ROI.14 [],97.777,27.777,70,80,10s2
ROI.16 [],98.284,28.28400000000001,70,80,10s2
ROI.17 [],103.277,33.277,70,80,10s2
ROI.18 [],97.777,27.777,70,80,10s2
ROI.19 [],101.285,31.285,70,80,10s2
ROI.20 [],103.277,33.277,70,80,10s2
ROI.21 [],103.277,33.277,70,80,10s2
ROI.31 [],50.778,20.778,30,40,10s3
ROI.31 [],94.778,24.77800000000001,70,80,10s3
ROI.12 [],117.286,7.286000000000001,110,120,10s4
ROI.12 [],150.787,40.787000000000006,110,120,10s4
ROI.13 [],118.278,8.278000000000006,110,120,10s4
ROI.13 [],152.277,42.27699999999999,110,120,10s4
ROI.01 [],79.276,9.275999999999996,70,80,10s5
ROI.01 [],87.783,17.783,70,80,10s5
ROI.31 [],115.277,5.277000000000001,110,120,10s5
ROI.09 [],31.278,1.2779999999999987,30,40,10s6
ROI.09 [],50.78,20.78,30,40,10s6
ROI.10 [],45.787,15.787,30,40,10s6
ROI.11 [],51.786,21.786,30,40,10s6
ROI.11 [],89.778,19.77800000000001,70,80,10s6
ROI.12 [],31.278,1.2779999999999987,30,40,10s6
ROI.12 [],47.796,17.796,30,40,10s6
ROI.13 [],51.786,21.786,30,40,10s6
ROI.14 [],52.778,22.778,30,40,10s6
ROI.17 [],51.277,21.277,30,40,10s6
ROI.18 [],51.277,21.277,30,40,10s6
ROI.19 [],51.786,21.786,30,40,10s6
ROI.21 [],52.778,22.778,30,40,10s6
ROI.03 [],92.777,12.777,80,100,20s1
ROI.22 [],34.778,4.777999999999999,30,50,20s1
ROI.22 [],60.292,30.292,30,50,20s1
ROI.22 [],88.287,8.287000000000006,80,100,20s1
ROI.22 [],142.777,12.776999999999989,130,150,20s1
ROI.27 [],85.777,5.777000000000001,80,100,20s1
ROI.31 [],115.778,35.778000000000006,80,100,20s1
ROI.31 [],160.285,30.285,130,150,20s1
ROI.31 [],179.288,49.28800000000001,130,150,20s1
ROI.09 [],144.277,14.276999999999989,130,150,20s3
ROI.10 [],44.787,14.787,30,50,20s3
ROI.10 [],144.277,14.276999999999989,130,150,20s3
ROI.11 [],143.777,13.776999999999989,130,150,20s3
ROI.12 [],144.788,14.788000000000013,130,150,20s3
ROI.13 [],144.788,14.788000000000013,130,150,20s3
ROI.14 [],144.788,14.788000000000013,130,150,20s3
ROI.16 [],144.788,14.788000000000013,130,150,20s3
ROI.17 [],144.788,14.788000000000013,130,150,20s3
ROI.17 [],167.777,37.77699999999999,130,150,20s3
ROI.18 [],145.279,15.278999999999996,130,150,20s3
