Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,6,6,6.5,11.666666666666666,0.2572801771541815,ns
10s,2hz,6,4,6.5,10.0,0.5871536918062479,ns
10s,2mw,6,1,6.5,5.0,1.0,ns
10s,5hz,6,3,6.5,11.666666666666666,0.43472400072864303,ns
10s,5s,6,4,6.5,6.0,0.746885633390364,ns
10s,Ctrl,6,1,6.5,4.0,1.0,ns
10s,Far Light Control,6,1,6.5,6.0,1.0,ns
20s,2hz,6,4,11.666666666666666,10.0,0.8301534956200871,ns
20s,2mw,6,1,11.666666666666666,5.0,1.0,ns
20s,5hz,6,3,11.666666666666666,11.666666666666666,1.0,ns
20s,5s,6,4,11.666666666666666,6.0,0.4499998761856068,ns
20s,Ctrl,6,1,11.666666666666666,4.0,1.0,ns
20s,Far Light Control,6,1,11.666666666666666,6.0,1.0,ns
2hz,2mw,4,1,10.0,5.0,1.0,ns
2hz,5hz,4,3,10.0,11.666666666666666,0.8571428571428571,ns
2hz,5s,4,4,10.0,6.0,0.7715034091403082,ns
2hz,Ctrl,4,1,10.0,4.0,1.0,ns
2hz,Far Light Control,4,1,10.0,6.0,1.0,ns
2mw,5hz,1,3,5.0,11.666666666666666,1.0,ns
2mw,5s,1,4,5.0,6.0,1.0,ns
2mw,Ctrl,1,1,5.0,4.0,1.0,ns
2mw,Far Light Control,1,1,5.0,6.0,1.0,ns
5hz,5s,3,4,11.666666666666666,6.0,0.7212766990291557,ns
5hz,Ctrl,3,1,11.666666666666666,4.0,1.0,ns
5hz,Far Light Control,3,1,11.666666666666666,6.0,1.0,ns
5s,Ctrl,4,1,6.0,4.0,1.0,ns
5s,Far Light Control,4,1,6.0,6.0,1.0,ns
Ctrl,Far Light Control,1,1,4.0,6.0,1.0,ns
