ROI,n_spikes,spike_times_s
ROI.03 [],1,57.777
ROI.06 [],1,150.277
ROI.07 [],1,151.277
ROI.08 [],1,151.277
ROI.14 [],1,150.277
ROI.15 [],1,151.277
ROI.19 [],1,151.277
ROI.20 [],1,64.778
ROI.23 [],1,151.277
