ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.02 [],1,58.27799999999999,58.27799999999999,0.0,58.27799999999999,58.27799999999999
ROI.03 [],1,58.27799999999999,58.27799999999999,0.0,58.27799999999999,58.27799999999999
ROI.04 [],1,55.27699999999999,55.27699999999999,0.0,55.27699999999999,55.27699999999999
ROI.05 [],1,57.278999999999996,57.278999999999996,0.0,57.278999999999996,57.278999999999996
ROI.06 [],1,59.27699999999999,59.27699999999999,0.0,59.27699999999999,59.27699999999999
ROI.07 [],1,57.278999999999996,57.278999999999996,0.0,57.278999999999996,57.278999999999996
