ROI,n_spikes,spike_times_s
ROI.D [],4,32.777;84.278;111.288;194.777
ROI.04 [],2,65.777;85.277
ROI.30 [],2,125.778;179.777
ROI.22 [],2,111.288;194.777
ROI.06 [],1,85.277
ROI.B [],1,77.777
ROI.24 [],1,19.777
ROI.29 [],1,19.777
