ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.C [],2,56.27799999999999,56.27799999999999,2.9989999999999952,53.278999999999996,59.27699999999999
ROI.A [],2,41.5325,41.5325,12.246499999999997,29.286,53.778999999999996
ROI.F [],1,58.28800000000001,58.28800000000001,0.0,58.28800000000001,58.28800000000001
ROI.D [],1,54.27699999999999,54.27699999999999,0.0,54.27699999999999,54.27699999999999
ROI.05 [],1,45.786,45.786,0.0,45.786,45.786
ROI.06 [],1,51.77799999999999,51.77799999999999,0.0,51.77799999999999,51.77799999999999
ROI.10 [],2,30.5265,30.5265,26.250499999999988,4.2760000000000105,56.77699999999999
ROI.21 [],8,29.090749999999993,33.02749999999999,15.781613667096908,1.7759999999999962,48.77699999999999
ROI.22 [],1,54.27699999999999,54.27699999999999,0.0,54.27699999999999,54.27699999999999
ROI.23 [],1,59.27699999999999,59.27699999999999,0.0,59.27699999999999,59.27699999999999
