Parameter,Replicate,ROI,spike_time_s
2hz,1,2,190.777
2hz,1,3,182.777
2hz,1,4,191.777
2hz,1,5,190.276
2hz,1,6,63.777
2hz,1,6,187.777
2hz,1,8,184.278
2hz,1,10,186.278
2hz,1,11,191.777
2hz,1,14,185.277
2hz,1,15,57.278
2hz,1,15,191.277
2hz,1,16,186.777
2hz,1,17,190.276
2hz,1,18,190.276
2hz,2,2,184.777
2hz,2,3,185.278
2hz,2,4,187.778
2hz,2,5,185.787
2hz,2,6,188.778
2hz,2,9,184.279
2hz,2,10,183.277
2hz,2,11,183.277
2hz,2,15,189.777
2hz,2,16,189.777
2hz,2,17,191.278
2hz,2,18,181.783
2hz,3,2,112.277
2hz,3,2,188.778
2hz,3,3,190.276
2hz,3,4,189.277
2hz,3,5,76.786
2hz,3,5,186.779
2hz,3,6,185.277
2hz,3,8,185.277
2hz,3,9,182.777
2hz,3,10,106.276
2hz,3,10,181.777
2hz,3,11,191.278
2hz,3,12,190.276
2hz,3,15,188.778
2hz,3,16,188.778
2hz,3,17,190.276
2hz,3,18,190.776
5hz,1,10,73.276
5hz,1,18,119.278
5hz,3,2,181.777
5hz,3,3,191.277
5hz,3,4,188.785
5hz,3,5,182.787
5hz,3,6,183.277
5hz,3,8,182.276
5hz,3,9,188.785
5hz,3,10,184.278
5hz,3,11,186.278
5hz,3,12,190.292
5hz,3,13,183.277
5hz,3,14,188.785
5hz,3,15,182.787
5hz,3,16,188.785
5hz,3,17,181.777
5hz,3,18,188.785
Ctrl,2,12,101.277
Ctrl,2,16,100.778
