Repeat,VAR2,Point,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-185.86000E-003,19.00000E-009,15.85000E-003
1,1,2,-152.45000E-003,28.00000E-009,33.66600E-003
1,1,3,-7.26000E-003,36.00000E-009,53.07400E-003
1,1,4,243.20000E-003,40.00000E-009,70.74800E-003
1,1,5,591.78000E-003,44.00000E-009,88.40000E-003
1,1,6,1.06394E+000,50.00000E-009,106.02200E-003
1,1,7,1.64694E+000,58.00000E-009,123.67900E-003
1,1,8,2.33233E+000,118.00000E-009,141.72400E-003
1,1,9,2.97945E+000,366.00000E-009,160.13100E-003
1,1,10,3.35100E+000,694.00000E-009,177.77400E-003
1,1,11,3.51467E+000,907.00000E-009,195.42600E-003
1,1,12,3.60195E+000,1.03900E-006,213.09300E-003
1,1,13,3.66633E+000,1.14700E-006,230.85500E-003
1,1,14,3.72680E+000,1.25300E-006,248.50500E-003
1,1,15,3.77878E+000,1.35400E-006,266.19000E-003
1,1,16,3.83052E+000,1.46000E-006,283.84100E-003
1,1,17,3.87824E+000,1.55900E-006,301.48400E-003
1,1,18,3.92357E+000,1.66100E-006,319.10200E-003
1,1,19,3.96770E+000,1.76600E-006,336.75100E-003
1,1,20,4.00760E+000,1.86500E-006,354.39200E-003
1,1,21,4.04652E+000,1.96500E-006,372.02200E-003
1,1,22,4.08500E+000,2.07000E-006,389.63600E-003
1,1,23,4.12123E+000,2.17000E-006,407.28700E-003
1,1,24,4.15455E+000,2.26900E-006,424.92700E-003
1,1,25,4.18880E+000,2.37200E-006,442.80800E-003
1,1,26,4.22246E+000,2.47400E-006,460.67500E-003
1,1,27,4.25352E+000,2.57500E-006,478.32900E-003
1,1,28,4.28300E+000,2.67200E-006,495.97900E-003
1,1,29,4.31350E+000,2.77400E-006,513.59400E-003
1,1,30,4.34347E+000,2.87600E-006,531.24000E-003
1,1,31,4.37426E+000,2.97800E-006,560.22200E-003
1,1,32,4.40110E+000,3.07600E-006,577.85100E-003
1,1,33,4.42750E+000,3.17600E-006,595.84000E-003
1,1,34,4.45371E+000,3.27900E-006,613.89100E-003
1,1,35,4.48025E+000,3.37900E-006,631.54500E-003
1,1,36,4.50620E+000,3.48000E-006,649.28300E-003
1,1,37,4.52983E+000,3.57900E-006,666.90100E-003
1,1,38,4.55432E+000,3.67800E-006,684.55400E-003
1,1,39,4.57872E+000,3.77900E-006,702.21600E-003
1,1,40,4.60257E+000,3.88000E-006,719.83600E-003
1,1,41,4.62525E+000,3.98100E-006,737.47600E-003
1,1,42,4.64832E+000,4.07900E-006,755.13700E-003
1,1,43,4.67121E+000,4.17900E-006,772.73400E-003
1,1,44,4.69383E+000,4.28100E-006,790.37700E-003
1,1,45,4.71536E+000,4.38400E-006,808.03900E-003
1,1,46,4.73684E+000,4.48300E-006,825.67800E-003
1,1,47,4.75839E+000,4.58400E-006,843.30600E-003
1,1,48,4.77707E+000,4.68300E-006,860.94800E-003
1,1,49,4.79694E+000,4.78200E-006,878.60800E-003
1,1,50,4.81742E+000,4.88200E-006,896.24100E-003
