Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 []
0.257,0.0,0.824251796431626,0.900281669195478,0.1882682894238011,0.07602674968095137,0.02721315273228414,0.0820006074254367,0.03674572521651539,0.11886589683378664,0.044179893617920955,0.13662323317046082,0.047307092868700926,-0.004105009145625595,0.02023962396976276,0.02123638444647017,0.00055292537755488
0.781,0.0,0.7031481844408738,0.7403281586894026,0.22661226547682148,0.06549700116228953,0.02832145519608442,0.1037640099792594,0.026275613704767473,0.10902373523973934,0.047358354826441934,0.3165185633889674,0.052335272599888544,0.023130490367836733,0.028218705375184158,0.029828255778946502,0.06608525528476075
1.281,0.0,0.6664757815954877,1.1149164814498602,0.1803500596948667,0.0640811572688967,0.01637263425508799,0.07520339548915503,0.03330730362845195,0.10464273971465397,0.03887770088604649,0.20848577967024157,0.05442738024590004,0.01685848963497601,0.043595937771361004,0.02398642269152242,0.040164037807311245
1.786,0.0,0.5580151755397731,0.7105460126864622,0.15488248884229394,0.06577740766137706,0.02246177466646896,0.05912279525247247,0.018924459641625424,0.08872389655414475,0.03649086296555115,0.2778139497066843,0.03664378063498958,0.009447517005958722,0.01322331374375697,0.025631039267964336,0.04717368497020631
2.287,0.0,0.47776200692624654,0.8731393705901921,0.1813371932011081,0.05514982847764224,0.018573171937080694,0.07217115591185468,0.029859410547041464,0.08185325248076218,0.021019578890975166,0.26085535956124156,0.026356565774520852,0.018584797906067985,0.04961746330385366,0.018618141720885724,-0.0032038070842805174
2.78,0.0,0.430840772005869,0.8618494639876347,0.13700004184256306,0.05752154371186086,0.014979547596855283,0.04602471782620012,0.01494362690602425,0.0753609745933659,0.02433997738030224,0.07522323136759747,0.03422536527365509,0.018899157973206047,0.00710241409038685,0.015981452742682048,0.03115635637929211
3.279,0.0,0.3671302256487403,0.7842595748479616,0.12656799610604913,0.03367961014009987,0.031811066865837075,0.04731836710264556,0.016036869739993766,0.06520409877105458,0.051454974174277544,0.13567987861119254,0.04989610024516891,0.02117196507920945,0.02823908010311013,0.01369178448847619,0.03434393594690854
3.779,0.0,0.4158410800425771,0.6986451170305779,0.11745001675801531,0.044381463450733835,0.020157969120997463,0.06854429363350255,0.024475415773386036,0.06615608517918392,0.03352707487780894,0.13382486547572592,0.04557357115793229,0.01903851234240965,0.03832605962272822,0.026012357075757192,0.03382001882201815
4.278,0.0,0.5219608460345315,0.7397165661241764,0.11218999528590551,0.04702785217184634,0.022073493193736585,0.04514369473028448,0.024646742150662825,0.059379416599380286,0.013118197131722045,0.12750214702113474,0.052795296796948984,0.010464527215617962,0.03691819862957578,0.018376027075522806,0.025815971264556366
4.78,0.0,0.22905589700157686,0.8074482074390466,0.05251128824466074,0.03660536697966742,0.019767819616284238,0.03928538855518579,0.01393090009475725,0.05565835226530826,-0.004218116919714632,0.15649983007234683,0.029748935040916257,0.011093414009430758,0.011087021478881603,0.011811275678187634,-4.616161234946599e-05
