ROI,n_spikes,spike_times_s
ROI.01 [],6,29.793;52.786;76.778;101.778;119.777;151.778
ROI.03 [],6,29.793;60.276;76.778;102.788;124.277;155.276
ROI.04 [],6,20.787;35.788;60.786;111.278;124.277;144.287
ROI.05 [],6,29.793;58.277;79.276;102.788;122.277;149.778
ROI.07 [],6,26.778;51.777;75.778;106.776;129.787;151.778
ROI.08 [],6,27.275;52.275;78.786;100.277;125.785;150.276
ROI.14 [],6,26.778;51.777;77.777;105.277;127.777;151.778
ROI.17 [],6,21.278;50.777;79.775;104.279;126.280;158.287
ROI.15 [],6,26.778;50.777;75.778;101.778;128.294;151.778
ROI.22 [],6,25.776;51.287;77.276;109.786;129.787;149.778
ROI.19 [],4,17.796;62.276;112.276;160.786
ROI.16 [],4,35.788;90.788;135.787;147.285
ROI.02 [],3,37.277;87.277;146.775
ROI.09 [],3,33.777;92.776;146.775
ROI.06 [],3,49.276;80.776;142.276
ROI.13 [],3,34.277;80.776;146.775
ROI.12 [],3,49.276;86.275;146.775
ROI.10 [],3,34.777;86.275;142.276
ROI.11 [],3,34.777;97.284;147.285
ROI.20 [],3,34.777;92.776;146.775
ROI.18 [],3,49.276;92.776;146.775
ROI.21 [],3,41.277;98.277;134.777
ROI.23 [],3,37.277;82.775;147.777
ROI.24 [],3,41.277;82.775;130.277
ROI.25 [],3,49.276;92.278;137.276
