Condition,ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s
10s1,ROI.31 [],2,33.0315,33.0315,10.260826501797995
10s1,ROI.F [],1,25.776,25.776,
10s1,[10s1 TOTAL],3,30.613,25.776,8.377929756210662
10s2,ROI.09 [],1,27.777,27.777,
10s2,ROI.10 [],1,27.777,27.777,
10s2,ROI.11 [],1,28.28400000000001,28.28400000000001,
10s2,ROI.12 [],1,27.777,27.777,
10s2,ROI.13 [],1,28.28400000000001,28.28400000000001,
10s2,ROI.14 [],1,27.777,27.777,
10s2,ROI.16 [],1,28.28400000000001,28.28400000000001,
10s2,ROI.17 [],1,33.277,33.277,
10s2,ROI.18 [],1,27.777,27.777,
10s2,ROI.19 [],1,31.285,31.285,
10s2,ROI.20 [],1,33.277,33.277,
10s2,ROI.21 [],1,30.782,30.782,
10s2,ROI.E [],1,27.777,27.777,
10s2,ROI.F [],1,26.276000000000003,26.276000000000003,
10s2,[10s2 TOTAL],14,29.029357142857144,28.030500000000004,2.199696818519904
10s4,ROI.11 [],1,5.278999999999996,5.278999999999996,
10s4,ROI.13 [],1,8.278000000000006,8.278000000000006,
10s4,[10s4 TOTAL],2,6.778500000000001,6.778500000000001,2.1206132367784627
10s5,ROI.24 [],1,32.77699999999999,32.77699999999999,
10s5,ROI.31 [],2,17.777000000000005,17.777000000000005,23.333109565593695
10s5,[10s5 TOTAL],3,22.777,32.77699999999999,18.63375971187779
10s6,ROI.10 [],2,18.7865,18.7865,4.241933580338099
10s6,ROI.11 [],2,20.782000000000004,20.782000000000004,1.4198704166225817
10s6,ROI.12 [],1,22.278,22.278,
10s6,ROI.17 [],1,21.277,21.277,
10s6,ROI.18 [],1,21.277,21.277,
10s6,ROI.19 [],1,21.786,21.786,
10s6,ROI.E [],2,18.5345,18.5345,4.59831539805612
10s6,[10s6 TOTAL],10,20.282400000000003,21.5315,2.59189271039953
1mw3,ROI.31 [],1,14.288000000000013,14.288000000000013,
1mw3,ROI.F [],1,15.27600000000001,15.27600000000001,
1mw3,[1mw3 TOTAL],2,14.78200000000001,14.78200000000001,0.6986214998123074
20s1,ROI.03 [],1,12.777,12.777,
20s1,ROI.22 [],5,15.0822,12.776999999999989,10.082157393137642
20s1,ROI.27 [],1,5.777000000000001,5.777000000000001,
20s1,ROI.A [],1,6.2890000000000015,6.2890000000000015,
20s1,ROI.B [],1,12.278000000000006,12.278000000000006,
20s1,ROI.D [],4,14.033499999999998,10.531999999999996,11.322605074216211
20s1,[20s1 TOTAL],13,12.974307692307692,12.278000000000006,8.731770070501318
20s2,ROI.02 [],1,43.286,43.286,
20s2,[20s2 TOTAL],1,43.286,43.286,
20s3,ROI.09 [],2,18.530499999999993,18.530499999999993,6.015357387553967
20s3,ROI.10 [],1,14.276999999999989,14.276999999999989,
20s3,ROI.11 [],2,17.778499999999994,17.778499999999994,5.658975569835949
20s3,ROI.12 [],1,14.788000000000013,14.788000000000013,
20s3,ROI.13 [],1,14.788000000000013,14.788000000000013,
20s3,ROI.14 [],1,14.788000000000013,14.788000000000013,
20s3,ROI.16 [],3,25.953333333333337,22.784,13.042085927233165
20s3,ROI.17 [],3,24.949666666666662,22.284,11.724029355700754
20s3,ROI.18 [],2,18.781499999999998,18.781499999999998,4.9532830022117675
20s3,ROI.19 [],2,19.280499999999993,19.280499999999993,4.954697215774146
20s3,ROI.20 [],1,15.278999999999996,15.278999999999996,
20s3,ROI.21 [],1,13.776999999999989,13.776999999999989,
20s3,ROI.22 [],2,23.026000000000003,23.026000000000003,16.617009357883866
20s3,ROI.B [],1,22.78700000000001,22.78700000000001,
20s3,ROI.D [],2,22.7815,22.7815,16.96278457388409
20s3,ROI.E [],2,18.786000000000005,18.786000000000005,5.6540258223676245
20s3,[20s3 TOTAL],27,20.041555555555554,15.278999999999996,8.194636239795157
20s4,ROI.09 [],2,22.031,22.031,15.208452649760263
20s4,ROI.10 [],2,22.026500000000002,22.026500000000002,15.909195469916135
20s4,ROI.11 [],2,20.787,20.787,14.83510026929377
20s4,ROI.12 [],2,22.033,22.033,14.488617946512365
