ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.F [],152.777,22.776999999999987,130,150,5hz1
ROI.31 [],87.776,7.775999999999996,80,100,5hz1
ROI.31 [],93.278,13.278000000000006,80,100,5hz1
ROI.31 [],113.779,33.779,80,100,5hz1
ROI.31 [],152.777,22.776999999999987,130,150,5hz1
ROI.31 [],183.277,53.27699999999999,130,150,5hz1
ROI.E [],154.278,24.27799999999999,130,150,5hz2
ROI.09 [],152.788,22.78800000000001,130,150,5hz2
ROI.10 [],154.278,24.27799999999999,130,150,5hz2
ROI.11 [],154.278,24.27799999999999,130,150,5hz2
ROI.12 [],154.278,24.27799999999999,130,150,5hz2
ROI.13 [],154.278,24.27799999999999,130,150,5hz2
ROI.14 [],154.778,24.77799999999999,130,150,5hz2
ROI.16 [],154.778,24.77799999999999,130,150,5hz2
ROI.17 [],153.278,23.27799999999999,130,150,5hz2
ROI.18 [],154.278,24.27799999999999,130,150,5hz2
ROI.19 [],153.278,23.27799999999999,130,150,5hz2
ROI.20 [],153.278,23.27799999999999,130,150,5hz2
ROI.21 [],154.278,24.27799999999999,130,150,5hz2
ROI.E [],100.778,20.77800000000001,80,100,5hz3
ROI.E [],119.278,39.278000000000006,80,100,5hz3
ROI.D [],58.777,28.777,30,50,5hz3
ROI.09 [],119.278,39.278000000000006,80,100,5hz3
ROI.10 [],100.778,20.77800000000001,80,100,5hz3
ROI.10 [],119.278,39.278000000000006,80,100,5hz3
ROI.11 [],94.778,14.778000000000006,80,100,5hz3
ROI.11 [],100.778,20.77800000000001,80,100,5hz3
ROI.11 [],119.278,39.278000000000006,80,100,5hz3
ROI.12 [],119.779,39.779,80,100,5hz3
ROI.13 [],99.778,19.77800000000001,80,100,5hz3
ROI.13 [],119.278,39.278000000000006,80,100,5hz3
ROI.14 [],119.779,39.779,80,100,5hz3
ROI.18 [],99.778,19.77800000000001,80,100,5hz3
ROI.18 [],119.278,39.278000000000006,80,100,5hz3
ROI.21 [],98.779,18.779,80,100,5hz3
ROI.21 [],119.278,39.278000000000006,80,100,5hz3
ROI.22 [],58.291,28.291,30,50,5hz3
ROI.F [],37.287,7.286999999999999,30,35,5s1
ROI.F [],146.278,46.27799999999999,100,105,5s1
ROI.D [],49.788,19.788,30,35,5s1
ROI.D [],58.278,28.278,30,35,5s1
ROI.D [],114.277,14.277,100,105,5s1
ROI.D [],124.278,24.27800000000001,100,105,5s1
ROI.D [],133.784,33.78399999999999,100,105,5s1
ROI.D [],147.78,47.78,100,105,5s1
ROI.22 [],45.778,15.778,30,35,5s1
ROI.22 [],65.288,0.2879999999999967,65,70,5s1
ROI.22 [],124.278,24.27800000000001,100,105,5s1
ROI.22 [],133.283,33.28299999999999,100,105,5s1
ROI.22 [],147.78,47.78,100,105,5s1
ROI.31 [],37.287,7.286999999999999,30,35,5s1
ROI.31 [],146.278,46.27799999999999,100,105,5s1
ROI.D [],32.787,2.786999999999999,30,35,5s2
ROI.D [],76.282,11.281999999999996,65,70,5s2
ROI.D [],99.277,34.277,65,70,5s2
ROI.22 [],32.787,2.786999999999999,30,35,5s2
ROI.22 [],76.282,11.281999999999996,65,70,5s2
ROI.22 [],103.278,3.278000000000006,100,105,5s2
ROI.10 [],135.277,35.27699999999999,100,105,5s3
ROI.D [],62.277,32.277,30,35,5s4
ROI.22 [],62.277,32.277,30,35,5s4
ROI.A [],51.777,21.777,30,35,5s6
ROI.02 [],53.288,23.288,30,35,5s6
ROI.04 [],53.288,23.288,30,35,5s6
ROI.D [],184.277,54.27699999999999,130,150,Ctrl1
ROI.06 [],181.778,51.77799999999999,130,150,Ctrl1
ROI.22 [],184.277,54.27699999999999,130,150,Ctrl1
ROI.D [],111.288,31.288,80,100,Ctrl2
ROI.22 [],111.288,31.288,80,100,Ctrl2
ROI.31 [],147.789,17.788999999999987,130,150,Ctrl2
