ROI,spike_count
ROI.01 [],1
ROI.02 [],2
ROI.03 [],2
ROI.04 [],2
ROI.06 [],1
ROI.09 [],9
ROI.10 [],11
ROI.11 [],13
ROI.12 [],8
ROI.13 [],8
ROI.14 [],6
ROI.16 [],9
ROI.17 [],9
ROI.18 [],10
ROI.19 [],9
ROI.20 [],6
ROI.21 [],8
ROI.22 [],24
ROI.24 [],1
ROI.27 [],1
ROI.31 [],22
ROI.A [],3
ROI.B [],3
ROI.C [],1
ROI.D [],24
ROI.E [],12
ROI.F [],17
