Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,0.10504500296489079,0.022633981255045323,4.641030748466989,3.4667552851120763e-06,***
C(condition_group)[T.1mw],0.05168122629265575,0.06538176550455976,0.7904532080745276,0.42926313877105005,ns
C(condition_group)[T.20s],0.09859447976492741,0.019079346432646777,5.167602575538009,2.3711583804124694e-07,***
C(condition_group)[T.2hz],0.06782531295615407,0.025469252971644478,2.6630271815064854,0.007744115832275633,**
C(condition_group)[T.2mw],-0.01779558514962066,0.040729309188057006,-0.43692332387603644,0.6621669562717221,ns
C(condition_group)[T.5hz],0.09690621131589787,0.020852918426859587,4.647129448848651,3.365859637118469e-06,***
C(condition_group)[T.5s],0.054207516114682316,0.026573237359396467,2.039928947366821,0.0413574030997769,*
C(condition_group)[T.Ctrl],-0.05828963534911917,0.05786943251459471,-1.0072612226570303,0.3138092591287558,ns
C(condition_group)[T.Far Light Control],0.08288758609530326,0.054325517199092885,1.5257578826453824,0.12707017328847908,ns
ROI (random effect var),0.005175752431099274,,,,
