condition_group,total_spikes,n_replicates,mean_spikes,std_spikes
10s,1,1,1.0,
20s,7,4,1.75,0.9574271077563381
2Hz,3,2,1.5,0.7071067811865476
2mW,2,1,2.0,
5Hz,1,1,1.0,
5s,5,3,1.6666666666666667,0.5773502691896258
Ctrl,3,2,1.5,0.7071067811865476
