ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],10,7.875600000000001,6.035500000000006,7.225637998743702,2.2849473623890963
ROI.02 [],2,0.0,0.0,0.0,0.0
ROI.03 [],1,4.7890000000000015,4.7890000000000015,,
ROI.04 [],1,3.778999999999997,3.778999999999997,,
ROI.05 [],2,2.6385000000000005,2.6385000000000005,3.731402484321412,2.6385000000000005
ROI.06 [],11,15.315999999999997,13.778999999999996,16.72716554590167,5.043430174719654
ROI.07 [],2,2.8885000000000005,2.8885000000000005,4.0849558749146855,2.8885
ROI.08 [],1,0.7780000000000058,0.7780000000000058,,
ROI.09 [],9,6.012555555555555,0.0,10.83384900567558,3.61128300189186
ROI.10 [],2,0.0,0.0,0.0,0.0
ROI.11 [],24,19.251041666666666,13.031999999999996,22.31169988745263,4.554356668197651
ROI.12 [],1,0.0,0.0,,
ROI.13 [],2,2.3945000000000007,2.3945000000000007,3.3863343751023773,2.3945000000000007
ROI.14 [],2,2.8885000000000005,2.8885000000000005,4.0849558749146855,2.8885
ROI.15 [],1,5.277000000000001,5.277000000000001,,
ROI.16 [],2,18.033499999999997,18.033499999999997,18.73055152685045,13.244499999999995
ROI.17 [],3,10.09833333333333,0.0,17.490826405099703,10.09833333333333
ROI.19 [],1,39.27699999999999,39.27699999999999,,
ROI.21 [],1,3.778999999999997,3.778999999999997,,
ROI.22 [],1,32.77799999999999,32.77799999999999,,
ROI.24 [],12,31.40275,19.283,29.239046829150787,8.44058577882914
ROI.25 [],17,11.558058823529409,0.0,16.903076685438766,4.099598268939959
ROI.26 [],9,23.497222222222224,11.778000000000006,29.57187100006431,9.85729033335477
