ROI,n_spikes,spike_times_s
ROI.25 [],4,33.286;86.289;144.279;193.788
ROI.11 [],4,34.778;88.287;142.777;193.788
ROI.09 [],2,49.277;129.279
ROI.05 [],1,90.777
ROI.07 [],1,92.278
ROI.10 [],1,32.776
ROI.12 [],1,91.778
ROI.14 [],1,89.277
ROI.17 [],1,90.287
ROI.26 [],1,140.278
