ROI,n_spikes,spike_times_s
ROI.01 [],3,38.777;97.777;149.777
ROI.04 [],3,49.276;84.777;141.776
ROI.06 [],3,49.276;98.276;141.776
ROI.07 [],3,35.276;97.777;134.780
ROI.11 [],3,68.278;120.777;165.295
ROI.18 [],3,69.277;115.277;161.286
ROI.19 [],3,49.276;98.276;141.776
ROI.14 [],3,69.277;123.777;160.779
ROI.09 [],2,119.287;153.277
ROI.08 [],2,110.280;155.279
ROI.05 [],2,120.777;152.278
ROI.12 [],2,115.277;153.777
ROI.15 [],2,115.777;158.278
ROI.13 [],2,117.778;161.286
ROI.17 [],2,118.776;160.779
ROI.16 [],2,127.780;161.286
