ROI,n_spikes,spike_times_s
ROI.16 [],8,23.278;72.788;115.782;171.787;177.276;184.779;188.287;194.276
ROI.15 [],7,50.776;71.777;115.782;171.787;184.779;188.778;194.788
ROI.25 [],6,50.776;70.793;166.778;170.780;177.276;194.788
ROI.11 [],5,71.276;79.786;171.787;185.282;194.276
ROI.21 [],5,77.776;111.288;115.782;166.778;195.776
ROI.17 [],3,72.788;180.777;188.778
ROI.22 [],3,26.294;155.788;177.276
ROI.14 [],3,50.776;70.793;79.786
ROI.04 [],1,57.777
ROI.03 [],1,57.777
ROI.02 [],1,151.277
ROI.20 [],1,72.788
