ROI,n_spikes,spike_times_s
ROI.05 [],4,51.780;78.784;102.288;151.277
ROI.02 [],3,50.780;100.776;150.286
ROI.06 [],3,51.780;104.284;152.779
ROI.07 [],3,50.780;102.288;150.286
