ROI,n_spikes,spike_times_s
ROI.06 [],17,29.789;49.289;53.779;57.278;60.286;64.277;74.788;76.778;98.778;119.277;149.782;154.776;160.277;166.278;180.776;183.788;188.296
ROI.11 [],13,33.279;34.278;54.787;57.278;60.286;65.778;69.787;74.788;82.296;118.790;159.288;190.277;194.277
ROI.04 [],8,49.778;53.286;65.778;69.278;74.277;119.788;153.778;155.288
ROI.000 [],5,23.278;27.279;53.286;119.788;198.778
ROI.10 [],3,106.777;109.779;114.280
ROI.12 [],2,110.278;114.783
ROI.02 [],1,109.779
ROI.05 [],1,107.779
ROI.09 [],1,108.788
ROI.07 [],1,111.279
ROI.08 [],1,106.288
