ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.04 [],1,3.7789999999999964,3.7789999999999964,0.0,3.7789999999999964,3.7789999999999964
ROI.05 [],1,5.277000000000001,5.277000000000001,0.0,5.277000000000001,5.277000000000001
ROI.07 [],1,5.777000000000001,5.777000000000001,0.0,5.777000000000001,5.777000000000001
ROI.03 [],1,4.7890000000000015,4.7890000000000015,0.0,4.7890000000000015,4.7890000000000015
ROI.13 [],1,4.7890000000000015,4.7890000000000015,0.0,4.7890000000000015,4.7890000000000015
ROI.14 [],1,5.777000000000001,5.777000000000001,0.0,5.777000000000001,5.777000000000001
ROI.15 [],1,5.277000000000001,5.277000000000001,0.0,5.277000000000001,5.277000000000001
ROI.16 [],1,4.7890000000000015,4.7890000000000015,0.0,4.7890000000000015,4.7890000000000015
ROI.21 [],1,3.7789999999999964,3.7789999999999964,0.0,3.7789999999999964,3.7789999999999964
