ROI,n_spikes,spike_times_s
ROI.20 [],15,17.285;37.778;46.277;53.778;65.777;75.278;84.777;91.276;108.777;122.777;134.779;152.777;159.288;173.777;180.277
ROI.16 [],2,46.277;170.781
ROI.F [],1,187.777
ROI.27 [],1,67.277
ROI.31 [],1,187.777
