ROI,n_spikes,Mean_Amplitude,SEM
ROI.01 [],1,0.0602529630166394,0.0
ROI.09 [],4,0.24686930329282947,0.0273859868569105
ROI.10 [],5,0.2715311671790124,0.03792723882173636
ROI.11 [],5,0.2500925951489804,0.03505246569199306
ROI.12 [],4,0.24645163506871326,0.03327521586805957
ROI.13 [],4,0.2827212842864264,0.035847747485146665
ROI.14 [],5,0.21371063441663463,0.027807118048518764
ROI.16 [],4,0.2481637484027634,0.03004267888856072
ROI.17 [],5,0.18374683336648437,0.024381930680153274
ROI.18 [],4,0.2506232272017134,0.019374457110425798
ROI.19 [],5,0.21325216013693157,0.011166977528219562
ROI.20 [],4,0.21070494223853847,0.020361377023967987
ROI.21 [],4,0.2254740322030384,0.037029249950607655
ROI.22 [],6,0.32779151327452066,0.029376627434898935
ROI.31 [],4,0.4169187699621884,0.06031130585353057
ROI.A [],1,0.0372968398372107,0.0
ROI.B [],2,0.01170202603351805,0.0011233245158274502
ROI.D [],6,0.35218166675481766,0.03915905759996102
ROI.E [],5,0.20974803924640426,0.033447018731272996
ROI.F [],4,0.37963029619800337,0.0573046290150448
