Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,20s,3,1.0,1.3333333333333333,-0.3333333333333333,-1.7320508075688772,0.22540333075851657,-0.9999999999999999,ns
10s,5hz,3,1.0,1.3333333333333333,-0.3333333333333333,-0.9999999999999999,0.42264973081037427,-0.5773502691896256,ns
1mw,2hz,2,1.0,1.5,-0.5,-inf,0.0,0.0,***
1mw,5hz,2,1.0,2.0,-1.0,-inf,0.0,0.0,***
20s,2hz,3,2.111111111111111,1.6666666666666667,0.4444444444444444,1.5118578920369088,0.26970325665977846,0.8728715609439694,ns
20s,5hz,15,1.422222222222222,1.2,0.2222222222222222,1.2139539573337679,0.24484734349228368,0.31344156398775147,ns
20s,5s,2,2.5,3.25,-0.75,-1.0,0.49999999999999956,-0.7071067811865476,ns
20s,Far Light Control,2,2.5,1.0,1.5,3.0,0.20483276469913345,2.1213203435596424,ns
2hz,5hz,5,1.6,1.6,0.0,0.0,1.0,0.0,ns
2hz,5s,2,2.0,3.25,-1.25,-5.0,0.12566591637800234,-3.5355339059327373,ns
2hz,Far Light Control,2,2.0,1.0,1.0,inf,0.0,0.0,***
5hz,5s,2,1.0,3.25,-2.25,-9.0,0.07044657495455454,-6.363961030678928,ns
5hz,Far Light Control,2,1.0,1.0,0.0,,,0.0,ns
5s,Far Light Control,2,3.25,1.0,2.25,9.0,0.07044657495455454,6.363961030678928,ns
