Condition_Group,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
10s,3,29.610333333333333,27.777,3.1754264805429417,1.8333333333333335
1mw,2,14.78200000000001,14.78200000000001,0.6986214998123074,0.49399999999999883
20s,55,21.809545454545457,14.788000000000013,12.090305404374357,1.6302564481535569
2hz,11,30.64718181818182,33.277,16.250909887253588,4.8998336907179025
2mw,3,25.281000000000002,25.277,0.4940121455996803,0.28521804524492006
5hz,24,22.196124999999995,24.27799999999999,8.007704666580427,1.6345658703354788
5s,13,18.43676923076923,9.281999999999996,20.995866228672437,5.823205558481631
Far Light Control,2,31.288,31.288,0.0,0.0
