Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,3,-0.5,0.6666666666666667,ns
10s,5hz,3,0.5,0.6666666666666667,ns
20s,2hz,3,1.0,0.0,***
20s,5hz,15,-0.039285714285714285,0.8894459296739485,ns
2hz,5hz,5,0.9999999999999999,1.4042654220543672e-24,***
