ROI,n_spikes_all,n_spikes_in_stim,n_spikes_outside
ROI.01 [],0,0,0
ROI.02 [],1,1,0
ROI.03 [],1,1,0
ROI.04 [],1,1,0
ROI.05 [],1,1,0
ROI.06 [],1,1,0
ROI.07 [],1,1,0
ROI.08 [],1,1,0
ROI.09 [],1,1,0
ROI.10 [],1,1,0
ROI.11 [],1,1,0
ROI.12 [],1,1,0
ROI.13 [],1,1,0
ROI.14 [],1,1,0
ROI.15 [],1,1,0
ROI.16 [],1,1,0
