ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.F [],1,46.27799999999999,46.27799999999999,0.0,46.27799999999999,46.27799999999999
ROI.D [],7,38.21057142857143,28.278,26.850704794459,14.277000000000001,99.28899999999999
ROI.04 [],2,79.2815,79.2815,3.9954999999999927,75.286,83.27699999999999
ROI.11 [],1,1.279,1.279,0.0,1.279,1.279
ROI.22 [],7,33.567571428571426,24.278000000000006,30.246136210654562,0.2879999999999967,99.28899999999999
ROI.31 [],2,26.782499999999995,26.782499999999995,19.495499999999996,7.286999999999999,46.27799999999999
