ROI,n_spikes,spike_times_s
ROI.14 [],4,50.775;98.777;135.777;177.276
ROI.01 [],3,49.276;92.276;146.777
ROI.06 [],3,44.276;101.277;136.777
ROI.04 [],3,46.275;98.777;136.276
ROI.08 [],3,75.777;118.277;159.291
ROI.10 [],3,73.277;119.276;156.277
ROI.12 [],3,72.776;125.777;154.277
ROI.07 [],3,47.278;94.777;136.276
ROI.19 [],3,44.276;101.277;136.777
ROI.16 [],3,23.777;72.776;110.790
ROI.15 [],3,73.777;124.778;158.777
ROI.09 [],2,121.777;158.777
ROI.11 [],2,123.777;158.277
ROI.13 [],2,122.776;156.277
ROI.17 [],2,118.277;160.277
ROI.18 [],2,119.787;159.291
