Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 []
0.257,0.0,0.07282010568577109,0.06884254975630547,1.9818406010113296,0.00311319807178016,-0.015724500059177176,0.20338071704298583
0.781,0.0,-0.006994989958229658,0.027713653776792656,0.011451183023589717,-0.009717755414253477,-0.004611161203050091,0.1931633865613407
1.278,0.0,0.08490226638638619,0.11176724250381896,1.3970566422493018,0.017428735074120634,0.05854700339287206,0.3584171613235167
1.779,0.0,0.03200178207283858,-0.045392767095262215,0.09549163360464309,-0.0038706874163110016,0.03141852340454991,0.4067022010937605
2.278,0.0,0.052471791222451825,0.18829157999884247,1.257366080175775,0.02756250903575644,0.055201753231568694,0.25771654274722533
2.778,0.0,0.004066189332193861,0.005220166377497828,0.35862415554095767,0.0052968874447245394,0.017282714440200676,0.18092367695608894
3.277,0.0,-0.015301661878704253,-0.015389848051986352,-0.3864361451590217,0.013830770089734606,0.012832526931527002,0.15519166733552742
3.778,0.0,0.09600058302612628,0.16620408735413253,0.9469785929703908,0.02291103224134207,0.030096623722509985,0.13428146435454708
4.277,0.0,0.10117120725836634,0.1902325873703988,0.8331801894079333,0.04474072616979203,0.050926766588316706,0.27285534310829374
4.787,0.0,0.1167437527141902,0.24911006488984525,1.1087576515164987,0.04198700333707441,0.06027599754922986,0.20768257497046105
5.28,0.0,0.02405144312229571,0.05410842723577473,0.38914731650118956,0.03553371289102464,0.0385228642283501,-0.09609543941902605
5.786,0.0,0.023334497877342424,0.12273640043035786,0.29723049691201314,0.017378543253607853,0.050971007745593024,0.3091553754170988
6.278,0.0,0.07073975965334899,0.09308355318063119,0.536306319958176,0.03053535239391584,0.06031330976245025,0.2569001359481148
6.792,0.0,0.11446725705576968,0.183364466913098,1.248221097680604,0.03582923779361099,0.023635843567695197,0.3116807325389351
7.277,0.0,0.09614672776213502,0.14919494041195155,1.3019168394048655,0.04715319013421732,0.06711808833698951,0.19665698424442546
7.778,0.0,0.04564777326599456,0.057276245757153316,0.6528494883942899,0.0316565126421445,0.04020160844447589,-0.0075165232051286395
8.277,0.0,0.06897898645388385,0.09378573335848203,0.9249790648299735,0.02405680521102465,0.03507374788154884,0.04772888925471739
8.788,0.0,0.06615433240006553,0.12484293170658754,1.4259192679782364,0.0478167812954175,0.0476665682679135,0.19798067853713092
9.277,0.0,0.0582132458826201,0.0751508545605834,0.4067241956062942,0.004192968920952966,0.031140920908956125,0.17688240770923627
