Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 [],ROI.03 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.25 [],ROI.26 []
0.258,0.09967129531729572,0.014954088223663497,0.02958932794982384,0.02026891148896645,0.07223546902621986,0.007467323972635153,0.013386354535659065,0.008793433768938637,0.02746751025385278,0.1749604598273955,0.005735432853605985,0.0,0.029077608291070367,0.018724391748890304,0.017867326113015218,0.02069021344133268,0.014040717973802505,0.03161242487814742,0.021659886163928208,0.09174715349694497,0.01278965972025701,0.11263549995156308,0.03941967507361397,0.06228053378923135,5.04608182720006,0.24598125749793143,0.15896180357970843
0.787,0.08212440251197523,0.011285548118013734,0.01433954551697512,0.01461633020717195,0.08120506337952343,0.005469319809301911,0.004500800813378939,0.009639919190435832,0.01848036002117717,0.121258082269712,0.0056573592487262,0.0,0.032607142410337527,0.01582849727128783,0.012045951505620368,0.021222159439930912,0.013720081547645839,0.02265180049438065,0.015367920156776998,0.08817326207019102,0.004688370555720828,0.04248145435300003,-0.00012580112094950414,0.08098339585343052,1.856070431770433,0.13210663812891515,0.12240617276186334
1.285,0.07286131867641639,0.0102021191539869,0.02077388383312193,0.01627009405526599,0.06985414016701356,0.0060365402607861374,0.009653058283987284,0.008461945811277434,0.030550795084653023,0.05630415458665818,0.006123122284717772,0.0,0.029330383771936096,0.007385309649964578,0.013124626582465016,0.018757310632129424,0.01883273018048829,0.02883561097149319,0.019453658312307318,0.048117253558182985,0.011139107898513132,0.1015201899974164,0.03677223960003909,0.05339787032996759,1.5242153597514305,0.11289242074732224,0.031978673355165535
1.777,0.06742272994866486,0.0028599495121545194,0.008776394598539102,0.0033793406835837896,0.05476948786271226,0.004942356388776456,0.006535120455097259,0.022504976906893674,-0.0065182461279982085,0.07833931790732754,0.0037953861392954666,0.0,-0.000426618072322181,0.006038322663753191,0.007309525456624164,0.016594670870275798,0.007261930832006781,0.006830568410364085,0.0009866256248851433,0.020279634672265536,0.007827801495803968,0.0295589393994323,0.02998650222930715,-0.008867281563078633,1.2388330167319184,0.17225070255228653,0.02933642104457456
2.277,0.06338131629551712,0.00752474372140442,0.014155270068380566,0.008218531849084866,0.0929396799632389,0.004035641776644362,0.004741152025723074,0.017551895445900304,0.01167670072158874,0.03924233137211349,0.0034705348717593695,0.0,0.017156853641399048,0.006192563081004726,0.015997819712468546,0.013289561105828728,0.0017294191890341055,0.02092985231415774,0.009411136914425133,0.061845235276237934,0.005409290229275178,0.06552675532187861,0.02804377634642676,0.03290671083001048,1.1373840810419105,0.05511566486745354,0.04453124085639992
2.777,0.05540925896886211,0.008574023733825896,0.018935779687656105,0.01579782608522996,0.09049788265039874,0.004831631877212111,0.00613000111515083,0.00601383582792151,0.027836360228056082,0.05068806805015051,0.006476753383352225,0.0,0.018480682266750013,0.016522429296830704,0.015647787877410873,0.013551673998846577,0.01447557678300496,0.031238110424294547,0.01722412798285221,0.0794264606831785,0.00881633158204554,0.08922822534361827,0.027555855919058018,0.07765174769042432,3.542575390037327,0.059572213368936915,0.062813036729548
3.295,0.04986541371481802,0.0034287317019280616,0.006354702479423574,0.01110587381785118,0.09024831713575485,0.005244668493203471,0.007616623371101361,0.010392166680944922,0.015993401934998028,0.0709753379022304,0.002645691350074398,0.0,0.01522912676151326,0.008751002313153641,0.018818236166074705,0.009555816650676549,0.011132850964020157,0.021303531216675428,0.012471626087603651,0.05753027841901191,0.007488778841803076,0.01928105904393513,0.016549489525055333,0.01436936654973702,0.8255767283402513,0.08558716954278668,0.09052588158631608
3.777,0.051114482114099205,0.0039004928666554585,0.008348232854872161,0.010859221637182281,0.06813760238247969,0.004174752518546296,0.007964472955076086,0.015452739020531013,0.015741182345098234,0.03574198830786362,0.003999965596562015,0.0,0.019902678821869982,0.0077138332450504025,0.015834097848368853,0.013127740969181512,0.01794753366324929,0.017517778612176647,0.012413227109423643,0.03648125828856255,0.010381691660507005,0.02719966288588835,0.03940466607034556,0.035595310593796725,1.4641762321824308,0.07402422644481087,0.018469311415121818
4.278,0.045388215238292534,8.862710619763703e-05,0.012476367170974459,0.005553212467189208,0.06695790826260788,0.0038291681035336794,0.0045181041989670835,0.01840830108025457,0.00022827424066876401,0.07220073484362621,0.004486967206125863,0.0,0.0127882588991765,0.010120333291483903,0.010881982502649523,0.007859713215743662,0.006729957818026445,0.005287721603335381,0.010280553623422155,0.02526289446339955,0.005985750879456899,0.06837648713998157,0.03176782661943053,0.03809724461300076,1.7762932885376286,0.1024762702342936,0.05918614795355125
4.778,0.037499638048537905,0.003791540885272336,0.013086971138594519,0.00528790711603121,0.05052208520337909,0.0050768917312970264,0.008889278303342761,0.023566442823895497,0.014455920752517585,0.0348806046402518,0.004388717974313148,0.0,0.017749820855058926,0.011557180723889197,0.011683262587337526,0.006722557315613357,0.007735524426542226,0.004607212709657056,0.0032687768192703444,0.0022544655355570017,0.008486388195397012,0.08162870157872228,0.03784196300036077,0.04177390353216276,-0.0834875112766587,0.14611812671345514,0.03107950266004289
5.279,0.03339189632717916,0.005119256515120847,0.01206446452361993,0.006340684125480313,0.026875205913557826,0.002961726564878869,0.006878138438713442,0.017654302620282978,0.019925416057897206,0.0658238660623933,0.004449631215337078,0.0,0.0072494259238951265,0.01470104579013292,0.012698339802031642,0.008649952856111478,0.0019298757768088969,0.008148754312908194,0.009476332108099896,0.07651579276329157,0.0013141838439076415,0.07525199523477191,0.011688675771082416,0.025665153340556652,0.05044421371929388,0.07859285313860231,0.0552656506831389
5.779,0.02288996172623818,0.0055817398576628605,0.00597558897273246,0.0070975469556047695,0.014133737394413141,0.0025330020084761177,0.0030063301938587253,0.012511538045280827,0.025883272355376144,0.030075341718525477,0.0038967754801268743,0.0,0.0176036458391416,0.008569999487452759,0.0021207449246580723,0.007278108683881407,0.009031419328761897,0.010523395226052813,0.010962737070253092,0.04561512865624287,0.005529714136548094,0.05707107791098998,0.005942887596142078,0.050415948347497214,2.6631207084429547,0.03950431409237891,0.06375032403335974
6.277,0.028099925748554643,0.0037461242002035685,0.005197652798801718,0.008819453324818415,0.05580743364934129,0.00342162579378786,0.005701399035243897,-0.003635125072555664,0.017022008812621624,0.0882020688475493,0.00410953855762074,0.0,0.009149620744258246,0.011722486221107236,0.006322364854904587,0.0065587439566688974,0.005615138652462803,0.02254912486642818,0.012866429968302902,0.057835496578506576,0.005950354133488117,0.04186704370691685,0.025123275161610358,0.04853463724788199,3.366377594612921,0.10889395987601423,0.12217056178965045
6.779,0.029816810807219547,0.0032631546128638333,0.007383160268225133,0.008842242562005352,0.06210768260730133,0.005117909149382947,0.00667215054310425,0.008747944441544756,0.020316324798854382,0.06051061398081467,0.0024347214935410773,0.0,0.015802237478568248,0.005817440233704872,0.017374614217530584,0.010284189667898787,0.008792337582381763,0.01577953555748666,0.008995835009556478,0.020840779845708254,0.0035310289309083824,0.03832864498986933,0.024664996164487956,0.021824236615791113,1.665472271893037,0.12181676023858715,0.0623272944444752
7.278,0.02020585297758111,0.005172087717133111,0.007120101508126921,0.002058662108728842,0.032247252321455484,0.0019394736116699562,0.00015622319744913336,0.014416439336694403,0.005943804638844457,0.04843820094522576,0.004058025766250474,0.0,0.002294009061818717,0.005106664643698689,0.010158375428695535,0.00881310563011943,0.014358384997318355,-1.4687113342562805e-05,0.001059312448733027,3.1107880667949805e-05,0.0026223290483142645,0.05519885586927525,0.030396158590715896,-0.0005587217461942947,-0.02733071462275232,0.07041885452361243,0.07335516765159751
7.778,0.019813932320758038,0.0019667592327482215,0.009243774952198906,0.0018379374843108685,0.02413707576174065,0.0025037775968596073,0.0015841635961259307,0.0021540896666049796,0.018095020183076738,0.02085071623395138,0.001575126251811497,0.0,0.0007687604414992221,-0.0010201820847511778,0.016841912619012994,0.0011612791576923506,0.012282551786918677,0.0032004376740484702,0.004871372990374177,0.054095131842687855,0.0030970853787181682,0.036575289779040766,0.008142242144913053,0.041788738462493355,0.9125616013842129,0.052790259012872494,0.020044949918728912
