ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.02 [],1,58.27699999999999,58.27699999999999,0.0,58.27699999999999,58.27699999999999
ROI.03 [],1,60.27799999999999,60.27799999999999,0.0,60.27799999999999,60.27799999999999
ROI.04 [],1,52.77699999999999,52.77699999999999,0.0,52.77699999999999,52.77699999999999
ROI.06 [],1,54.27600000000001,54.27600000000001,0.0,54.27600000000001,54.27600000000001
ROI.07 [],1,54.27600000000001,54.27600000000001,0.0,54.27600000000001,54.27600000000001
ROI.08 [],1,58.27699999999999,58.27699999999999,0.0,58.27699999999999,58.27699999999999
ROI.09 [],1,57.77600000000001,57.77600000000001,0.0,57.77600000000001,57.77600000000001
ROI.10 [],1,54.27600000000001,54.27600000000001,0.0,54.27600000000001,54.27600000000001
ROI.11 [],1,54.27600000000001,54.27600000000001,0.0,54.27600000000001,54.27600000000001
ROI.12 [],1,59.27799999999999,59.27799999999999,0.0,59.27799999999999,59.27799999999999
ROI.13 [],1,54.27600000000001,54.27600000000001,0.0,54.27600000000001,54.27600000000001
ROI.14 [],1,54.27600000000001,54.27600000000001,0.0,54.27600000000001,54.27600000000001
ROI.15 [],1,59.77699999999999,59.77699999999999,0.0,59.77699999999999,59.77699999999999
ROI.16 [],1,59.77699999999999,59.77699999999999,0.0,59.77699999999999,59.77699999999999
