ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.07 [],1,20.275000000000006,20.275000000000006,0.0,20.275000000000006,20.275000000000006
ROI.09 [],3,1.7616666666666656,0.0,2.4913728923806007,0.0,5.284999999999997
ROI.10 [],4,11.213,8.037499999999998,10.834500196132723,0.0,28.777
ROI.11 [],2,5.890000000000001,5.890000000000001,5.890000000000001,0.0,11.780000000000001
ROI.12 [],2,10.137500000000003,10.137500000000003,10.137500000000003,0.0,20.275000000000006
ROI.13 [],3,19.278666666666666,20.275000000000006,4.548481236144174,13.276999999999987,24.284000000000006
ROI.14 [],2,2.6424999999999983,2.6424999999999983,2.6424999999999983,0.0,5.284999999999997
ROI.15 [],2,2.6424999999999983,2.6424999999999983,2.6424999999999983,0.0,5.284999999999997
ROI.16 [],2,2.6424999999999983,2.6424999999999983,2.6424999999999983,0.0,5.284999999999997
ROI.17 [],4,9.892500000000002,6.393000000000001,11.061399402878465,0.0,26.784000000000006
ROI.19 [],6,18.686999999999998,17.0265,18.069813594316162,0.0,53.28299999999999
ROI.20 [],2,2.6424999999999983,2.6424999999999983,2.6424999999999983,0.0,5.284999999999997
ROI.21 [],1,23.795,23.795,0.0,23.795,23.795
ROI.22 [],4,1.3212499999999991,0.0,2.288472129500378,0.0,5.284999999999997
ROI.23 [],3,24.68366666666667,20.275000000000006,22.17418619827018,0.0,53.77600000000001
ROI.000 [],2,2.389499999999998,2.389499999999998,2.389499999999998,0.0,4.778999999999996
