Parameter,Replicate,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18
2hz,1,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0
2hz,2,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
2hz,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0
5hz,1,,,,,,,,1.0,,,,,,,,1.0
5hz,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ctrl,2,,,,,,,,,,1.0,,,,1.0,,
