ROI,n_spikes,spike_times_s
ROI.07 [],4,98.278;131.286;140.277;146.276
ROI.06 [],3,97.282;131.778;146.276
ROI.01 [],3,97.786;131.286;146.276
ROI.03 [],1,97.786
ROI.05 [],1,33.776
ROI.08 [],1,98.278
ROI.14 [],1,97.282
