Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 []
0.259,0.0,23.469462276984903,6.818614951904192,0.24783872747767108,0.08942047036471588,0.038867079812627534,0.12989770519103644,0.028126823886541526,0.23097593253044182,0.06164517708036223,0.0063995962242327144,-0.01075983610926863,-0.013064593117669568,0.012486956414635703,0.004349118347635817,0.027312518248833285
0.777,0.0,23.492044075837807,7.569804039119738,0.29454358112076406,0.08941183473474115,0.04188728337403739,0.08596454610899082,0.028001289579073052,0.2128182240049176,0.06139017244807841,0.11179859636074078,0.006786152776137547,0.04204296069119402,0.05698442465306069,0.01625102388601757,0.05068025859189139
1.285,0.0,21.758947625515347,7.2272235039124695,0.2458798510091901,0.09283722791309636,0.03278852442784676,0.09501138323341385,0.027638008300366924,0.19544759710667645,0.04798183609744893,0.1373641835627215,0.012352954550467128,0.010326742998957542,0.044972337246673426,0.03835610123751564,0.07381295883195553
1.776,0.0,21.594512489305473,9.027483563149127,0.2528712355688536,0.07821542120160468,0.038658638942251,0.08560026033024763,0.03238815401661664,0.17928767490496794,0.06775597852927251,0.14239542134754204,0.008615047034570817,0.04320879154498064,0.030420662584120642,0.02245361544333648,0.027436173364341315
2.277,0.0,14.408455226546558,6.938405537042729,0.2430900049994654,0.05209728998105398,0.028914309546330626,0.09599996937220458,0.024449486870395942,0.15146872263252747,0.03848514863443914,0.14051750224813114,0.010608839288788125,0.02114739271055496,0.03006050896414083,0.03637613900030369,0.026707218778786422
2.775,0.0,12.914192257701885,3.656751523252678,0.22359899319020055,0.06336043543344604,0.017197065694849967,0.061418788467081153,0.018540025263482366,0.14031824608521712,0.05067287265623038,0.09986892430506585,0.023189054804109203,0.027779416036517273,0.03580850451571738,0.022266164372040025,0.033853050446747364
3.286,0.0,12.787565237438118,3.365262117205875,0.19405584841646206,0.06323738716516153,0.02584373584793735,0.06858023301626831,0.026529926221171916,0.12734342685016725,0.06155570675156803,0.08573516016752271,0.004201583830214438,0.0317632281279319,0.036327219914759276,0.028587886458475695,0.024032469412461312
3.778,0.0,14.217241961497706,6.949353142856373,0.21365354046279433,0.051087617918214936,0.015747362993364395,0.05176567928004712,0.03111950386804464,0.12697619545594632,0.02661278025801422,0.1193606774978138,0.005422451170563496,0.009165213975147845,0.03870343617898907,0.03336016882561621,0.053633527679223046
4.277,0.0,11.44028973767399,6.681468808545605,0.1595870839144623,0.04587874309845398,0.018093185042906326,0.027940594024638426,0.02098271109814035,0.11140405612667953,0.01607262791933162,0.08554956290610384,0.001601415356539783,0.02049663111661376,0.008601521596002748,0.012207139991440144,0.03474036610640228
4.776,0.0,10.245793685913535,10.426798098443353,0.16784225134926695,0.038054000654809426,0.018463568228776376,0.017274457759063253,0.009724447097883874,0.09932137297481601,0.0378477757330256,0.06401737233917681,0.020196493205691474,0.008116118201119855,0.008142672339614404,0.01518651067657334,0.01970475069208866
5.277,0.0,13.249365747084935,7.35277050535948,0.1888255528222536,0.04466960307206836,0.0033224799709620522,0.04090763518696582,0.01827888797495074,0.08584409385729548,0.021085097133106072,0.052448943121817575,0.02155195152742308,0.03021945985097074,0.02039162874464906,0.020545260556507863,0.03726932045122865
5.778,0.0,45.38599915208738,4.343851944545585,0.11622513848766398,0.04565626427823795,0.010418505667855156,0.027365025619331417,0.02608858279949472,0.08852513459481781,0.009230057844494783,0.020773209955419838,0.02005460002523241,0.019721472528042586,0.025867378347252827,0.03006108258725487,0.026059876234240845
6.278,0.0,80.07916079133987,5.603698746708377,0.15971035866299543,0.02532518749219977,0.008380725092829352,0.04093768274954002,0.021157177960494513,0.07171017184466813,0.018484020200261707,0.04748452273374123,0.015558464672888388,0.004404262537084113,0.015747709229937457,0.013579588700590478,0.02063331154577567
