condition,condition_group,ROI,spike_time_s,amplitude
blue4,blue,ROI.01 [],110.785,0.1124415653104423
blue4,blue,ROI.01 [],184.277,0.6268869603280371
blue4,blue,ROI.06 [],110.785,0.1383006853623932
blue4,blue,ROI.06 [],152.778,0.139666048643674
blue4,blue,ROI.06 [],184.277,0.7562367600643373
blue4,blue,ROI.07 [],187.776,0.2287383325674776
blue4,blue,ROI.11 [],183.778,0.7003984893995646
red6,red,ROI.01 [],120.278,0.0670931332769002
red6,red,ROI.09 [],115.787,0.0904684686088032
red6,red,ROI.11 [],122.276,0.1093631883991105
red7,red,ROI.01 [],61.788,0.9921592073080208
red7,red,ROI.01 [],100.775,1.0660430895119066
red7,red,ROI.02 [],106.778,0.0552699194917042
red7,red,ROI.03 [],62.28,0.1282978783709107
red7,red,ROI.03 [],100.775,0.1038137436493007
red7,red,ROI.06 [],61.788,1.212425289261902
red7,red,ROI.06 [],100.775,1.3078602772378347
red7,red,ROI.07 [],106.778,0.0790052802342799
red7,red,ROI.08 [],106.288,0.0597283736106176
red7,red,ROI.09 [],59.776,0.1114901222298872
red7,red,ROI.11 [],61.276,1.192651631056042
red7,red,ROI.11 [],100.277,1.3411544804764084
red7,red,ROI.13 [],62.28,0.1282978783709107
red7,red,ROI.13 [],100.775,0.1038137436493007
red8,red,ROI.03 [],58.777,0.2836180378441134
red8,red,ROI.08 [],174.778,0.1075614459115691
red8,red,ROI.13 [],58.777,0.2836180378441134
