Parameter,Replicate,ROI,spike_time_s
10,1,2,87.778
10,1,3,86.287
10,1,5,29.285
10,1,8,87.278
10,1,14,30.293
10,1,21,30.293
10,1,21,70.288
10,1,21,110.277
10,2,10,92.785
10,2,21,30.278
10,2,21,65.287
10,2,21,100.279
10,3,2,75.283
10,3,3,74.784
10,3,8,75.283
10,3,14,100.276
10,3,21,30.276
10,3,21,65.278
10,3,21,100.276
20,1,2,29.285
20,1,2,106.787
20,1,3,27.777
20,1,3,104.277
20,1,8,27.777
20,1,8,106.277
20,1,14,30.79
20,1,14,70.788
20,1,14,120.278
20,1,21,30.79
20,1,21,70.788
20,1,21,117.776
20,2,14,30.776
20,2,14,71.278
20,2,21,30.776
20,2,21,70.777
20,2,21,118.777
20,3,2,39.284
20,3,3,38.778
20,3,8,39.284
20,3,14,30.277
20,3,14,70.276
20,3,19,116.778
20,3,21,30.277
20,3,21,70.276
20,3,21,110.279
20,4,14,30.778
20,4,14,118.278
20,4,21,37.288
20,4,21,70.778
20,4,21,110.777
20,5,2,78.777
20,5,3,78.777
20,5,3,105.778
20,5,8,78.777
20,5,15,129.778
20,5,21,30.788
20,5,21,70.786
20,5,21,111.789
20,6,6,38.276
20,6,14,37.276
20,6,21,30.277
20,6,21,70.276
20,6,21,110.278
20,7,2,85.276
20,7,2,152.776
20,7,3,82.777
20,7,3,122.777
20,7,3,151.787
20,7,5,140.782
20,7,8,83.788
20,7,8,152.776
20,7,14,73.784
20,7,14,145.777
20,7,15,41.287
20,7,15,76.783
20,7,15,140.782
20,7,21,31.785
20,7,21,72.776
20,7,21,111.777
20,7,24,82.777
20,8,2,114.778
20,8,3,112.278
20,8,5,43.777
20,8,8,113.288
20,8,14,30.277
20,8,15,43.777
20,8,21,26.277
20,8,21,70.278
20,8,21,110.288
20,9,2,78.777
20,9,2,149.277
20,9,3,40.276
20,9,3,65.276
20,9,3,120.776
20,9,3,149.277
20,9,3,186.778
20,9,8,76.777
20,9,8,149.277
20,9,14,38.278
20,9,21,30.778
20,9,21,80.777
20,9,21,130.777
2hz,1,21,30.277
2hz,1,21,75.776
2hz,1,21,110.778
2hz,1,21,146.778
2hz,2,21,30.778
2hz,2,21,70.278
2hz,2,21,110.778
2hz,2,21,150.278
2hz,3,2,33.276
2hz,3,2,68.287
2hz,3,2,107.283
2hz,3,2,143.277
2hz,3,3,31.777
2hz,3,3,66.278
2hz,3,3,104.784
2hz,3,3,143.787
2hz,3,8,32.788
2hz,3,8,66.278
2hz,3,8,106.779
2hz,3,8,143.787
2hz,3,14,33.276
2hz,3,14,154.278
2hz,3,21,36.776
2hz,3,21,72.276
2hz,3,21,112.776
2hz,3,21,150.776
4mW,1,20,81.777
4mW,1,21,30.776
4mW,1,21,70.785
4mW,1,21,110.787
5hz,1,2,42.784
5hz,1,2,81.777
5hz,1,2,124.777
5hz,1,3,41.279
5hz,1,3,79.784
5hz,1,3,125.278
5hz,1,8,27.777
5hz,1,8,42.784
5hz,1,8,80.778
5hz,1,8,124.777
5hz,1,21,31.278
5hz,1,21,70.778
5hz,1,21,110.778
5hz,1,21,150.777
5hz,2,2,25.287
5hz,2,2,66.277
5hz,2,2,103.777
5hz,2,2,143.278
5hz,2,3,25.287
5hz,2,3,65.787
5hz,2,3,101.777
5hz,2,3,143.278
5hz,2,8,25.287
5hz,2,8,66.277
5hz,2,8,102.286
5hz,2,8,143.278
5hz,2,21,30.286
5hz,2,21,71.278
5hz,2,21,90.777
5hz,2,21,110.778
5hz,2,21,150.783
5hz,3,21,32.777
5hz,3,21,73.782
5hz,3,21,112.276
5s,1,2,105.776
5s,1,3,103.786
5s,1,6,129.277
5s,1,8,103.786
5s,1,14,101.277
5s,1,21,30.278
5s,1,21,65.277
5s,1,21,83.778
5s,1,21,100.278
5s,2,2,64.276
5s,2,2,138.778
5s,2,3,62.776
5s,2,3,138.278
5s,2,8,63.277
5s,2,8,138.778
5s,2,14,30.281
5s,2,14,134.776
5s,2,21,30.281
5s,2,21,80.277
5s,2,21,130.284
5s,3,2,133.776
5s,3,14,94.777
5s,3,21,30.276
5s,3,21,80.278
5s,3,21,118.284
Ctrl,1,2,71.286
Ctrl,1,2,131.287
Ctrl,1,3,57.778
Ctrl,1,3,129.782
Ctrl,1,8,71.286
Ctrl,1,8,131.779
Ctrl,1,21,135.289
Ctrl,2,2,45.278
Ctrl,2,2,104.778
Ctrl,2,3,44.777
Ctrl,2,3,102.776
Ctrl,2,3,138.276
Ctrl,2,4,93.781
Ctrl,2,8,44.777
Ctrl,2,8,104.778
Ctrl,2,10,153.777
Ctrl,2,12,93.781
