ROI,n_spikes,spike_times_s
ROI.06 [],4,52.776;101.786;121.278;161.283
ROI.02 [],3,50.777;101.278;150.280
ROI.05 [],3,55.786;101.786;154.776
ROI.07 [],3,51.278;101.278;150.280
