Condition_Group,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
Ctrl,1,0.0,0.0,,
Ctrl2_red,1,0.0,0.0,,
blue,8,16.839000000000002,1.0264999999999986,22.89524359212754,8.094691000455615
red,10,5.5840000000000005,0.0,13.622467919662066,4.307802597870777
