ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.01 [],50.777,0.777000000000001,30,50,blue3
ROI.01 [],184.277,34.27699999999999,130,150,blue4
ROI.01 [],199.776,49.77600000000001,130,150,blue4
ROI.02 [],197.778,47.77799999999999,130,150,blue4
ROI.01 [],93.277,0.0,80,100,Ctrl1
ROI.01 [],134.776,0.0,130,150,red1
ROI.01 [],192.785,42.785,130,150,red1
ROI.01 [],44.776,0.0,30,50,red2
ROI.01 [],83.785,0.0,80,100,red2
ROI.01 [],97.786,0.0,80,100,red2
ROI.01 [],131.286,0.0,130,150,red2
ROI.01 [],31.777,0.0,30,50,red3
ROI.01 [],62.28,12.28,30,50,red3
ROI.01 [],100.775,0.7750000000000057,80,100,red3
ROI.01 [],133.278,0.0,130,150,red3
ROI.03 [],57.777,7.777000000000001,30,50,blue1
ROI.20 [],64.778,14.778000000000006,30,50,blue1
ROI.04 [],113.277,13.277,80,100,blue2
ROI.13 [],52.284,2.283999999999999,30,50,Ctrl1
ROI.03 [],165.777,15.776999999999989,130,150,red1
ROI.04 [],57.784,7.783999999999999,30,50,red1
ROI.04 [],138.277,0.0,130,150,red1
ROI.06 [],52.776,2.776000000000004,30,50,red1
ROI.06 [],85.286,0.0,80,100,red1
ROI.01 [],43.285,0.0,30,50,red2
ROI.04 [],178.277,28.276999999999987,130,150,red3
