ROI,mean0,sd0,thr
ROI.01 [],0.6873541664242349,0.009659297591240627,0.735650654380438
ROI.02 [],0.7418745747457612,0.020585849224605483,0.8448038208687887
ROI.03 [],0.7034172535247281,0.02789028198929239,0.84286866347119
ROI.04 [],1.5175737579407576,0.08369209682313662,1.9360342420564407
ROI.05 [],0.8991963104030191,0.0071068689127910985,0.9347306549669745
ROI.06 [],0.9791977726147372,0.02432672600300078,1.100831402629741
ROI.07 [],0.958332388857354,0.04174020024692365,1.1670333900919723
ROI.08 [],0.8042915335897148,0.05119426907891758,1.0602628789843027
ROI.09 [],0.9069852484632535,0.01056404094227138,0.9598054531746103
ROI.10 [],0.8992859972135075,0.012305029951916943,0.9608111469730922
ROI.11 [],0.8920064632121695,0.008755237359471466,0.9357826500095268
ROI.12 [],0.9613817698997956,0.015880860094319393,1.0407860703713925
ROI.13 [],1.0012237157900088,0.021884004006754977,1.1106437358237837
ROI.14 [],0.9718855628856198,0.004344084974483321,0.9936059877580364
ROI.15 [],0.9595354973028577,0.002834627428991538,0.9737086344478154
ROI.16 [],0.968587628252701,0.0044814896621864705,0.9909950765636333
ROI.17 [],1.0123094820111065,0.010132399863228867,1.0629714813272508
ROI.18 [],0.9514253864360939,0.01198891964308052,1.0113699846514965
ROI.19 [],1.206966174398424,0.02717897009662676,1.3428610248815578
ROI.20 [],0.88858292881622,0.004679737326494927,0.9119816154486947
ROI.21 [],0.7617445487892271,0.010455347608328116,0.8140212868308677
ROI.22 [],0.8074951542532376,0.006599088730969363,0.8404905979080844
ROI.23 [],0.9126797348595829,0.018835916443175317,1.0068593170754594
ROI.24 [],0.9155097410097691,0.018012736691271986,1.005573424466129
ROI.25 [],0.9179889158377986,0.004448877782618,0.9402333047508886
