Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 []
0.257,0.2114758986821685,0.012444957800269578,0.05736116050983963,0.029203746879024002,0.1725440297313154,0.012844056514107388,0.017934875156693567,0.008848749698180483,0.021361350911640528,0.07278735521555042,0.009000549231094777,0.0
0.779,0.18581162383861405,0.012764246092863193,0.04120168437458753,0.027337228914058365,0.1344350551936545,0.010356030328317282,0.01004590697510203,0.0171467395081972,0.030934525532853724,0.08069994860078536,0.009406090424512242,0.0
1.298,0.172951113984158,0.01075507631660909,0.02864693320985435,0.024160422114995334,0.09562028034529348,0.009887846641595402,0.00624832936492854,0.02593065517885176,0.03393735062923247,0.06041450883791238,0.00880392521643115,0.0
1.778,0.15434607353955826,0.00564688035182758,0.02243911513046509,0.01873448523380012,0.12962511006957592,0.007828164699024866,0.009283832445446479,0.02036193921320323,0.026399837373567506,0.06770938901158646,0.006919629251746567,0.0
2.278,0.13552029524426812,0.0019662294031179053,0.009899617694267813,0.015392263212467108,0.13376989592246696,0.008032838601953588,0.004577142516376031,-0.004431656420350666,0.012774566845603005,0.06294537542700186,0.00320480157445191,0.0
2.778,0.12237785727755789,0.0032004283352322534,0.025446668331245037,0.013575870717635862,0.10085381438010796,0.007167021468725488,0.0034769798527201712,0.011381348836146022,0.014675583731764941,0.06147870421174295,0.005623814661733658,0.0
3.279,0.109581848819394,0.004604914284750495,0.026663327936394098,0.016027029704775764,0.0780384161506204,0.006026976411707003,0.004641587700454919,0.029491348831166067,0.02738731595690407,0.03843977612126867,0.005732351426839658,0.0
3.778,0.10282953216218618,0.01123299494539857,0.016401047703383353,0.014685608666770312,0.06083357514831724,0.00708152872926012,0.0025404027762548345,0.018934280136177876,0.033091389969783634,0.047456292229498556,0.0028746836052928157,0.0
4.278,0.08714927038585875,0.009225467614424755,0.016005616853738955,0.014707471385034051,0.07190124375467208,0.006102721618647916,0.010540114465309499,0.022275923475911,0.032614628879582934,0.04959923042684901,0.0059638562321225694,0.0
4.788,0.07804522462897938,0.007237679041043812,0.009699421415974218,0.014229175032304291,0.03183802611027363,0.005319936314695191,0.006966039448146078,0.019553728965836077,0.03723324291488398,0.013653877401312301,0.003209292094395564,0.0
5.278,0.06729591969489514,0.0032014524509014044,0.0028120813099920482,0.010450516322919894,-0.011166194500460176,0.003590674261492611,0.004060069925166551,0.01428472767446441,0.017200696466903784,0.005316345807022168,0.0031075287345629166,0.0
5.788,0.053944453268240364,0.0021835609394139006,0.0050571102435496805,0.01064593343031718,0.0014149272187148198,0.002910793803983976,0.0016726627547599727,0.00048505070471984677,0.022284370044550316,0.005487336767963965,0.0019063202245814688,0.0
6.277,0.048129199327529924,0.0011993880874553076,0.011843473680009882,0.005939587940782062,0.03993189035322538,0.001499006207291899,0.0029686448605820404,-0.003685400748936822,0.0030036963374186682,-0.029435503742731416,0.0018551262179620908,0.0
6.778,0.04877327901914368,0.00501760194802445,0.007016425553314898,0.006576347462427571,0.025225680035622314,0.0028437373780837807,0.00501883826190041,0.010989028789519571,0.01833501977558187,0.023758090465642697,0.003618538491989739,0.0
7.277,0.041306656418326454,0.003381383765919937,0.008592181619437568,0.004875207807883546,0.017399473702572707,0.002776819561092272,0.0030136993127505103,0.017315838277887182,0.016330638282559637,0.022084589177364083,0.0014285021390505277,0.0
7.787,0.044895539676620556,0.0028091151337820528,0.01622626990335569,0.007361753994878359,-0.003200678405093356,0.003351538267314805,0.0074376864369202315,0.01410753166538485,0.011263530426813119,0.02019462766909768,0.001027656910494792,0.0
8.276,0.04643004776965896,0.0050718630695598095,0.012696917378186024,0.008921605157573433,0.005656561056213268,0.005523921425614499,0.004982796378538389,0.0292058038289508,0.02026804619634069,0.0287601968052861,0.005807169335310189,0.0
8.787,0.042128341663647546,0.0042043638254635205,0.014167945508863281,0.006203707512807685,0.005831354538901873,0.004551698829732627,0.00305537051255612,0.017845142395566137,0.011337473287621977,0.01683209098803547,0.004084357726136172,0.0
9.279,0.030122727574447374,0.004455159463316135,0.016574699120527458,0.009748428552403685,0.022423321807744617,0.0019441682775336215,-0.00011271077431096446,0.020872702381133777,0.018116481574910217,0.0058792260989315795,0.0016203606737295224,0.0
9.778,0.03790779267196493,0.006561718609975952,0.02068276933235845,0.011476602701556008,0.06758845455288635,0.004273308659566207,0.00378149138866989,0.017124391844764907,0.020003504027247394,0.07753309172381956,0.0031545640184358972,0.0
10.277,0.028228099943693897,0.0012735574630946662,0.0067170757098710294,0.005592005016016726,0.046503769908367854,0.002859378961500656,0.003410691353189901,0.010824575401593994,0.01198637723130792,0.05891567269597595,0.0012032623684574578,0.0
10.788,0.02166816593760638,0.002222981758846757,0.009651415584443407,0.007312619320110166,0.06152245585503943,0.0027770402421152165,0.0008427083522205767,0.006870721699149889,0.006289054179386261,0.05115321254921618,0.0012556680964538843,0.0
11.277,0.035860630150111955,0.0010949139234663187,0.011108504062346232,0.005122902597877289,0.07235503388281302,0.002947742524605631,0.0035930590054225452,0.011793196110436001,0.005175926991304407,0.09247647340531918,0.0015127983132067477,0.0
11.788,0.020283768255857728,0.0004387553865863951,0.008616829087003796,0.004957035613556563,0.044707831578500175,0.001655606263563435,5.3101974634388703e-05,0.011834323287208313,4.537156163290877e-06,0.04367392185244178,0.002412549564997772,0.0
12.278,0.02594069436873777,-0.00012373741164737562,0.016285796739397715,0.003758183053660014,0.07287669877745041,0.00226297189658904,-1.517191602335715e-05,0.0326520993482783,0.02569346277714252,0.1048468298543186,0.0036923291538470677,0.0
12.778,0.026917088816970445,0.0030129047206622107,0.007753398574869437,0.005597846744344653,0.038853491285088096,0.0015741988223365885,0.0032557299060686352,0.006383211134861305,0.03173863100885858,0.029555182711057067,0.0013569350373407178,0.0
13.279,0.02485251273052414,0.0032977510955637633,0.007920088678113486,0.00522668341911924,0.04585333163594737,0.0010068921749468523,0.004029100119405185,0.001421601476885975,0.020337177857756874,0.059576533757823284,0.0005624558929622214,0.0
13.779,0.024673595495251107,0.0009418192907607753,0.01709983219968288,0.006968953742776032,0.05830163123595401,0.0013368135650510772,-0.0008024448226603329,0.023232035034563645,0.015083782466143213,0.07556689617931724,0.0016912675804953597,0.0
14.278,0.02570296029871813,0.0002165769156816671,0.020976580434036354,0.009359876751056727,0.09364482715096915,0.0019170618354699147,0.004103276735955908,0.01526501566238922,0.014152172447365644,0.051224644157852224,0.0036435394019227758,0.0
14.786,0.008933808249658613,-0.0019241877900744596,0.010491173241804553,0.003926990090451299,0.07426840777932553,0.0006753805375007027,-0.0003423033691805638,-0.0019291736470658466,0.003572467204784702,0.016630212761295296,7.846710308557917e-06,0.0
15.278,0.011573858855568086,-0.0034344463332734955,0.012566466529528161,0.0006159292873116869,0.09362270983298206,-0.0003865795067403663,-0.0024874332128126567,-0.0028299342116495613,-0.013913741720141233,-1.0798718762816007e-05,-0.0011967807283420912,0.0
15.778,0.016149405314497656,0.002526819361087861,0.011762491878419535,0.003445671856249826,0.093951714163416,0.0011714465855057483,0.0063570790038144365,0.016609035435153192,-0.010865924570544265,0.012751662564114448,0.001242836779218765,0.0
16.296,0.014379562616748666,-0.0004812357128273949,0.005643446375889955,0.0034178589347285166,0.09652393813060589,0.0026591169901018226,0.0022798311537155914,0.01834025933280781,0.003960138941292221,0.048438314679671766,0.0028617581790623,0.0
16.784,0.020688042339198177,0.0028106949770811854,0.013204195868846717,0.00429403182032496,0.13624063744395923,0.0017003537149326564,0.0029208281828086305,0.01572178295268616,0.0059096094971556185,0.038497633028189995,0.003790654550472122,0.0
17.285,0.026705568857649496,0.0046968571870176805,0.01797705203185887,0.008868401434895373,0.12294881309693109,0.0009357711780550686,0.006748544671374764,0.016268834211920807,0.0037435477368302776,0.05415718851639287,0.002879449278419035,0.0
17.786,0.022593048034343685,0.0022738986557370314,0.005798740436369399,0.0014841547995781347,0.06941890586624505,0.00031381156250264835,0.004774839878319973,0.01957870292878216,0.018481722010442993,0.05816128541846223,0.002471293988576303,0.0
18.278,0.017453915967403144,0.0043951175729742215,0.005113661759478644,0.0064266061943250566,0.0756157036929833,0.003997964650475869,0.005026661280483608,0.02164416278908551,0.020872835855001506,0.06723011166628463,0.0033732961367664996,0.0
18.778,0.023204097318213268,0.0024940632507919527,0.012723848604817893,0.009374441488804083,0.08802002560392277,0.0036660484634033663,0.005733872726085069,0.016748846041748425,0.01752099025844788,0.0473139057222695,0.00449151108767421,0.0
