Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 []
0.258,0.4301139275067987,0.4606659273067492,0.0,0.6718556225707316,0.40584329928963214
0.786,0.5660160682364987,0.5448209153794591,0.0,0.7421924879959904,0.5173827493778738
1.278,0.6649847015992985,0.5513676078422429,0.0,0.7409420814356963,0.5233836422788739
1.778,0.6552210358925911,0.5659966757535531,0.0,0.6708366560800841,0.5178476260888693
2.277,0.6661579881317317,0.5745436803012971,0.0,0.7439475723680685,0.48005254112255263
2.777,0.6642689616943989,0.544755114254569,0.0,0.7043628841110842,0.4676580891367451
3.277,0.6455400051372627,0.5578695915993178,0.0,0.7222393566585213,0.5059251416346255
3.777,0.6275197432468852,0.5478324345631796,0.0,0.6478446837623074,0.4242152282353233
4.293,0.5992444106215976,0.5299916423964768,0.0,0.7540807353142821,0.4896354458251556
4.781,0.6875115489707133,0.5320469428993474,0.0,0.7537302492399782,0.47417131043191435
5.283,0.6216975411751651,0.5550581115203086,0.0,0.6577998028546193,0.4339360054971404
5.777,0.6355358148848654,0.5317635898712505,0.0,0.7548910974264579,0.534475847711469
6.277,0.5861411771424754,0.5491266123081289,0.0,0.7766097258499662,0.460854575841857
6.777,0.5945633057844378,0.542091101252935,0.0,0.7487660839221933,0.49162395616841165
7.277,0.5829526275132317,0.5403965433411854,0.0,0.7314883085385585,0.47568861323795486
7.777,0.5256960894416878,0.5395922523722115,0.0,0.7311387146596111,0.4862425397910382
8.277,0.56444456135511,0.5672134712468588,0.0,0.7263031158649293,0.49688773944673076
8.778,0.5277741933098135,0.5274808767997605,0.0,0.6686355303496523,0.46581083812339885
9.277,0.5352113989488565,0.5563488968140051,0.0,0.6729210509969085,0.45024307049685147
9.788,0.5306690146575398,0.5569416253108901,0.0,0.7233147686411263,0.4350395098501325
10.277,0.4809019620161949,0.5314099275599612,0.0,0.6597258161029316,0.4203973193663014
10.777,0.5137016988855247,0.5629970586632811,0.0,0.7283350293489111,0.4531045228430734
11.29,0.506368821529131,0.5581885244221841,0.0,0.6855054706775036,0.4813975945395511
11.779,0.4805332253939637,0.5444640178103551,0.0,0.6653159187857128,0.41358538341610623
12.277,0.5038568772897688,0.5439715150448919,0.0,0.6601216121640844,0.4436753915514978
12.776,0.6013809993409202,0.6022091984477147,0.0,0.7669590261731777,0.5239948252722344
13.276,0.5632227670784472,0.5729620858982143,0.0,0.7512418252158192,0.45889172452971705
13.777,0.5104581526416715,0.5299930037637851,0.0,0.7242061398599119,0.4620290068480505
14.277,0.47094733098009467,0.5405414141697108,0.0,0.749661023923354,0.46359433686694124
14.777,0.505779323284901,0.56627765991488,0.0,0.7425108211461351,0.42344747165787405
15.276,0.45117638186787573,0.5379954840610763,0.0,0.698167477498997,0.43257994691986545
15.777,0.5154718627206905,0.5770224523045033,0.0,0.7271666822012538,0.4416481178093126
16.284,0.440521246644635,0.5391108313705822,0.0,0.651851387621481,0.4327849387819262
16.776,0.44308503058186643,0.5054230695969723,0.0,0.6597013993054062,0.4337461692495636
17.285,0.4940838946154632,0.538912693939432,0.0,0.6986265291027547,0.45793285889855373
17.78,0.40901971143824617,0.5266813008994801,0.0,0.6450339964098233,0.5119439903233813
18.284,0.48397228042679213,0.5655108416408107,0.0,0.6688353370014566,0.5033726417308
18.784,0.4370327236648866,0.5328557895500082,0.0,0.640269434458699,0.40771520215711954
19.276,0.43145401926640203,0.5516602352763578,0.0,0.677792281149791,0.39597853999983795
19.793,0.48489203591691776,0.5210681942037055,0.0,0.6872576977649784,0.42475747679375925
20.277,0.4816065333122613,0.5539579819867049,0.0,0.7128440733978415,0.4111408322179565
20.777,0.4152551057707339,0.5209145856197833,0.0,0.6565849034224854,0.45281025747514736
21.276,0.3915672319560883,0.5149741907278592,0.0,0.6881045382562423,0.4608107654905749
21.777,0.4008840695484338,0.520449724020709,0.0,0.6722410736798011,0.4849803847820001
22.276,0.3809199959010644,0.5268386265571902,0.0,0.6788920421683701,0.44198788322474464
22.786,0.40867389590653486,0.5548812346688896,0.0,0.7301202563817415,0.4787486122517938
23.276,0.42491953301960295,0.5274644548498792,0.0,0.6930648750381825,0.43343263470555043
23.777,0.37719797736011695,0.5015543671812707,0.0,0.664637443519548,0.418722812107075
24.277,0.391387115167792,0.5209474923969158,0.0,0.6826614784517163,0.43296490248206426
24.776,0.3441281822078726,0.490802985101212,0.0,0.6436155182582074,0.4178499512685939
25.277,0.30965880273213847,0.43865400227588996,0.0,0.685453870146792,0.35510957321102904
25.789,0.35412890422775944,0.4879026849457121,0.0,0.6966650651944577,0.4268840847430953
26.277,0.35971663178161545,0.46655325958194377,0.0,0.7305189436087457,0.42252159199329764
26.777,0.36682551808419694,0.48023541027024413,0.0,0.680194410655181,0.4010899444198466
27.276,0.4016459416960015,0.4927639725348829,0.0,0.6743168515680155,0.413355308052606
27.777,0.4042139515254404,0.4843978675252495,0.0,0.6795397197440323,0.41015104662441293
28.277,0.3803606827814709,0.46536104327534245,0.0,0.6979629839967673,0.3984039806617009
28.777,0.4477132942597567,0.48823470575771866,0.0,0.6958812317860268,0.4223206546639378
29.277,0.4345701360991481,0.5087556331119371,0.0,0.6934304267962431,0.42881814112556116
29.783,0.42842868035499687,0.49395633579892223,0.0,0.7338503344140007,0.45166407538361153
30.277,0.6508247024452126,0.503017464870868,0.0,0.6496385617051417,0.45460182968242313
30.776,0.579363797099844,0.46547734147567477,0.0,0.6448996814364155,0.4299324919992398
31.279,0.5396942256625817,0.5088130920238431,0.0,0.6503267946553584,0.4443772721176916
31.782,0.5728687929410498,0.5252565920126092,0.0,0.6473397574910562,0.44206332188270847
32.277,0.5719667011812318,0.5339424172738801,0.0,0.5946351514639534,0.45895145417909994
32.793,0.5773056899547848,0.5156522817791289,0.0,0.6477866910449297,0.4133912897246648
33.278,0.5378902996973115,0.5091136017892166,0.0,0.6652954660474569,0.4698783866754157
33.785,0.4444767082357618,0.5098306131761539,0.0,0.681871885299283,0.4117731364122878
34.278,0.5426398664927976,0.517142037263062,0.0,0.672456804329943,0.4303515218692954
34.777,0.49323257732848347,0.5217900727346627,0.0,0.7060229214120494,0.4690450750550718
35.286,0.4824105056005374,0.5199040811387019,0.0,0.6773312079889242,0.5022293003947331
35.778,0.5335572771203092,0.5252308963878398,0.0,0.6851543408669881,0.4187672865310819
36.276,0.524525148404541,0.5289945497959466,0.0,0.6747864288216046,0.3932858986217228
36.787,0.47484623437669,0.5210093702689534,0.0,0.6353105206722931,0.42450197113537685
37.278,0.5230524974000452,0.5510864262752716,0.0,0.6595248687958399,0.43698382984494255
37.777,0.49217699190294173,0.5153730888907172,0.0,0.6282584481233345,0.4486489455480792
38.277,0.49030805845907754,0.5401292057537472,0.0,0.6957086766292734,0.4724078174317602
38.777,0.5007867076607463,0.5239488503118938,0.0,0.6147707763401348,0.4111266764016824
39.277,0.5296601228431137,0.5386092654962655,0.0,0.6478730646191022,0.422747468941637
39.777,0.525947571301432,0.5471173738357621,0.0,0.6716999287824679,0.4549884712514516
40.277,0.5299540499165437,0.5542116313258879,0.0,0.6535399074217401,0.46026912566544337
40.777,0.5104501759570225,0.5394946543282114,0.0,0.6453864362798307,0.43978184849179786
41.278,0.4800882064116909,0.5400265716742558,0.0,0.6736794963570407,0.4243798260311422
41.777,0.5222579496022228,0.5126594876102877,0.0,0.6562022644237091,0.4682510580918562
42.278,0.5487893776879464,0.5106284416716801,0.0,0.6849376502596163,0.392440061852625
42.777,0.5917162632769349,0.5287418852912791,0.0,0.7085641205032962,0.42266262996563353
43.276,0.5931549133506293,0.5066228216783751,0.0,0.6428596365490558,0.46769515915017884
43.786,0.5079886598675951,0.4947350393505005,0.0,0.665760537148382,0.44458809306233693
44.277,0.4898541551006382,0.4885683555312054,0.0,0.6633697916078722,0.4628138632974063
44.783,0.46637015309083574,0.49794434355988987,0.0,0.636109668223948,0.4877252886811542
45.285,0.4985476748066186,0.5187753563117505,0.0,0.663327632539726,0.4233151256591653
45.784,0.46969929241088176,0.5152382228687232,0.0,0.6793476943936485,0.4261220871515838
46.277,0.4416990128731913,0.5097982116110589,0.0,0.6514509611776104,0.347924498503289
46.776,0.5401301102155329,0.5456298431858829,0.0,0.6670651078905183,0.4441862921895326
47.278,0.5006877555132797,0.533648755288376,0.0,0.6770822515208873,0.4453613909575296
47.777,0.42730606202295895,0.47083992515158907,0.0,0.6405258673003634,0.4304018807153074
48.278,0.480789793327596,0.48888502769467856,0.0,0.6559125041216549,0.38046195024233714
48.777,0.46586549651405246,0.5022136147744076,0.0,0.6382236524144189,0.41051535690441954
49.287,0.4255825805466177,0.5124373186102809,0.0,0.644923330268157,0.3944275355047544
49.778,0.47423160582534396,0.4963558618957437,0.0,0.6360564527061016,0.39407186185895726
50.277,0.3498777901989647,0.4955079647680285,0.0,0.6375829994677776,0.43218959392238915
50.777,0.3659226724151274,0.4939040613421935,0.0,0.6520865884652576,0.4409655174869504
51.277,0.3314854459795765,0.49665753781616495,0.0,0.6617697008195248,0.3668553479213017
51.777,0.36670848586860844,0.4855712257510682,0.0,0.6165042447315876,0.41702810965947007
52.277,0.3269209157614765,0.5055665541997626,0.0,0.6730841759844809,0.35285697222510803
52.787,0.4041249164724,0.484488025572767,0.0,0.6648812275114638,0.3938088780041768
